player_name,player_url,player_id,full_name,position,current_club,status
Yossi Benayoun,https://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858,7858,Yossi Benayoun,Attack - Right Winger,N/A,Success
Nicklas Bendtner,https://www.transfermarkt.com/nicklas-bendtner/profil/spieler/34557,34557,Nicklas Bendtner,Attack - Centre-Forward,N/A,Success
Benjani,https://www.transfermarkt.com/benjani/profil/spieler/12063,12063,Benjani,Attack - Centre-Forward,N/A,Success
Darren Bent,https://www.transfermarkt.com/darren-bent/profil/spieler/13239,13239,Darren Bent,Attack - Centre-Forward,N/A,Success
Marcus Bent,https://www.transfermarkt.com/marcus-bent/profil/spieler/9958,9958,Marcus Bent,Attack - Centre-Forward,Cornard United,Success
David Bentley,https://www.transfermarkt.com/david-bentley/profil/spieler/3205,3205,David Bentley,Midfield - Right Midfield,N/A,Success
Dimitar Berbatov,https://www.transfermarkt.com/dimitar-berbatov/profil/spieler/65,65,Dimitar Berbatov,Attack - Centre-Forward,N/A,Success
Christophe Berra,https://www.transfermarkt.com/christophe-berra/profil/spieler/36602,36602,Christophe Berra,Defender - Centre-Back,N/A,Success
Ryan Bertrand,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611,40611,Ryan Bertrand,Defender - Left-Back,N/A,Success
Leon Best,https://www.transfermarkt.com/leon-best/profil/spieler/28244,28244,Leon Best,Attack - Centre-Forward,N/A,Success
Habib Beye,https://www.transfermarkt.com/habib-beye/profil/spieler/3923,3923,Habib Beye,Defender - Right-Back,N/A,Success
Diniyar Bilyaletdinov,https://www.transfermarkt.com/diniyar-bilyaletdinov/profil/spieler/16690,16690,Diniyar Bilyaletdinov,Midfield - Attacking Midfield,N/A,Success
Mame Biram Diouf,https://www.transfermarkt.com/mame-biram-diouf/profil/spieler/62049,62049,Mame Diouf,Attack - Centre-Forward,A. Keciörengücü,Success
Robbie Blake,https://www.transfermarkt.com/robbie-blake/profil/spieler/3490,3490,Robbie Blake,Attack - Second Striker,N/A,Success
Luís Boa Morte,https://www.transfermarkt.com/lus-boa-morte/profil/spieler/3422,3422,Luís Boa Morte,Midfield - Left Midfield,N/A,Success
Jérôme Boateng,https://www.transfermarkt.com/jrme-boateng/profil/spieler/26485,26485,Jérôme Boateng,Defender - Centre-Back,N/A,Success
Ruud Boffin,https://www.transfermarkt.com/ruud-boffin/profil/spieler/31336,31336,Ruud Boffin,Goalkeeper,N/A,Success
Ádám Bogdán,https://www.transfermarkt.com/dm-bogdn/profil/spieler/55247,55247,Ádám Bogdán,Goalkeeper,N/A,Success
Mauro Boselli,https://www.transfermarkt.com/mauro-boselli/profil/spieler/40822,40822,Mauro Boselli,Attack - Centre-Forward,N/A,Success
José Bosingwa,https://www.transfermarkt.com/jos-bosingwa/profil/spieler/9813,9813,Bosingwa,Defender - Right-Back,N/A,Success
Lee Bowyer,https://www.transfermarkt.com/lee-bowyer/profil/spieler/3877,3877,Lee Bowyer,Midfield - Central Midfield,N/A,Success
Dedryck Boyata,https://www.transfermarkt.com/dedryck-boyata/profil/spieler/88262,88262,Dedryck Boyata,Defender - Centre-Back,N/A,Success
Emmerson Boyce,https://www.transfermarkt.com/emmerson-boyce/profil/spieler/19641,19641,Emmerson Boyce,Defender - Right-Back,N/A,Success
Michael Bradley,https://www.transfermarkt.com/michael-bradley/profil/spieler/30593,30593,Michael Bradley,Midfield - Central Midfield,N/A,Success
Titus Bramble,https://www.transfermarkt.com/titus-bramble/profil/spieler/3130,3130,Titus Bramble,Defender - Centre-Back,N/A,Success
Wayne Bridge,https://www.transfermarkt.com/wayne-bridge/profil/spieler/3682,3682,Wayne Bridge,Defender - Left-Back,N/A,Success
Matthew Briggs,https://www.transfermarkt.com/matthew-briggs/profil/spieler/51318,51318,Matthew Briggs,Defender - Centre-Back,N/A,Success
Wes Brown,https://www.transfermarkt.com/wes-brown/profil/spieler/3405,3405,Wes Brown,Defender - Centre-Back,N/A,Success
Jeffrey Bruma,https://www.transfermarkt.com/jeffrey-bruma/profil/spieler/88721,88721,Jeffrey Bruma,Defender - Centre-Back,N/A,Success
Chris Brunt,https://www.transfermarkt.com/chris-brunt/profil/spieler/36814,36814,Chris Brunt,Midfield - Central Midfield,N/A,Success
Mark Bunn,https://www.transfermarkt.com/mark-bunn/profil/spieler/49319,49319,Mark Bunn,Goalkeeper,N/A,Success
Gary Cahill,https://www.transfermarkt.com/gary-cahill/profil/spieler/27511,27511,Gary Cahill,Defender - Centre-Back,N/A,Success
Tim Cahill,https://www.transfermarkt.com/tim-cahill/profil/spieler/13556,13556,Tim Cahill,Midfield - Attacking Midfield,N/A,Success
Gary Caldwell,https://www.transfermarkt.com/gary-caldwell/profil/spieler/3791,3791,Gary Caldwell,Defender - Centre-Back,N/A,Success
Steven Caldwell,https://www.transfermarkt.com/steven-caldwell/profil/spieler/3462,3462,Steven Caldwell,Defender - Centre-Back,N/A,Success
DJ Campbell,https://www.transfermarkt.com/dj-campbell/profil/spieler/37896,37896,DJ Campbell,Attack - Centre-Forward,N/A,Success
Fraizer Campbell,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411,42411,Fraizer Campbell,Attack - Centre-Forward,N/A,Success
Sol Campbell,https://www.transfermarkt.com/sol-campbell/profil/spieler/3198,3198,Sol Campbell,Defender - Centre-Back,N/A,Success
John Carew,https://www.transfermarkt.com/john-carew/profil/spieler/3570,3570,John Carew,Attack - Centre-Forward,N/A,Success
David Carney,https://www.transfermarkt.com/david-carney/profil/spieler/10387,10387,David Carney,Midfield - Left Midfield,N/A,Success
Stephen Carr,https://www.transfermarkt.com/stephen-carr/profil/spieler/4046,4046,Stephen Carr,Defender - Right-Back,N/A,Success
Jamie Carragher,https://www.transfermarkt.com/jamie-carragher/profil/spieler/3597,3597,Jamie Carragher,Defender - Centre-Back,N/A,Success
Michael Carrick,https://www.transfermarkt.com/michael-carrick/profil/spieler/3878,3878,Michael Carrick,Midfield - Defensive Midfield,N/A,Success
Andy Carroll,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066,48066,Andy Carroll,Attack - Centre-Forward,Dag & Red FC,Success
