player_name,player_url,status,transfermarkt_id,player_slug,home_name,dob_age,place_birth,height,citizenship,position,foot,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons
Steven Pienaar,https://www.transfermarkt.com/steven-pienaar/profil/spieler/4321,Success,4321,spieler,Steven Pienaar,17/03/1982 (43),"Johannesburg, Gauteng","1,70 m",South Africa,Midfield - Left Midfield,both,Not found,Bidvest Wits FC,28/02/2018,-,Puma,10,607,102,Yes,28/02/2018,Not found,6
Frédéric Piquionne,https://www.transfermarkt.com/frdric-piquionne/profil/spieler/5683,Success,5683,spieler,Frédéric Piquionne,08/12/1978 (46),Nouméa,"1,88 m",Martinique  France,Attack - Centre-Forward,right,Not found,Mumbai City,1/1/2016,-,Not found,0,0,0,Yes,1/1/2016,Not found,0
Robert Pirès,https://www.transfermarkt.com/robert-pirs/profil/spieler/3185,Success,3185,spieler,Robert Pirès,29/10/1973 (52),Reims,"1,87 m",France  Portugal,Midfield - Left Midfield,right,Not found,FC Goa,13/03/2015,-,Not found,2,420,82,Yes,13/03/2015,Not found,2
Mike Pollitt,https://www.transfermarkt.com/mike-pollitt/profil/spieler/32217,Success,32217,spieler,Mike Pollitt,29/02/1972 (53),Farnworth,"1,93 m",England,Goalkeeper,right,Not found,Wigan,1/7/2014,-,Not found,1,198,22,Yes,1/7/2014,Not found,1
Christian Poulsen,https://www.transfermarkt.com/christian-poulsen/profil/spieler/1443,Success,1443,spieler,Christian Poulsen,28/02/1980 (45),Asnæs,N/A,Denmark,Midfield - Defensive Midfield,N/A,Not found,Copenhagen,29/12/2016,-,Not found,4,94,21,Yes,29/12/2016,Not found,3
Danny Pugh,https://www.transfermarkt.com/danny-pugh/profil/spieler/3546,Success,3546,spieler,Danny Pugh,19/10/1982 (43),Cheadle Hulme,"1,83 m",England,Defender - Left-Back,left,Not found,Hanley Town,30/06/2022,-,Not found,0,0,0,Yes,30/06/2022,Not found,0
Jason Puncheon,https://www.transfermarkt.com/jason-puncheon/profil/spieler/47995,Success,47995,spieler,Jason Puncheon,18/06/1986 (39),London,"1,73 m",England  Jamaica,Midfield - Central Midfield,left,Not found,Kissos Kissoner,1/1/2025,-,Not found,2,278,29,Yes,1/1/2025,Not found,2
Paul Rachubka,https://www.transfermarkt.com/paul-rachubka/profil/spieler/4098,Success,4098,spieler,Paul Rachubka,21/05/1981 (44),"San Luis Obispo, California","1,85 m",England  United States,Goalkeeper,right,Not found,Kerala Blasters,1/7/2018,-,Not found,1,168,25,Yes,1/7/2018,Not found,1
Rafael,https://www.transfermarkt.com/rafael/profil/spieler/357164,Success,357164,spieler,Rafael Leão,10/06/1999 (26),Almada,"1,88 m",Portugal  Angola,Attack - Left Winger,right,Not found,AC Milan,1/8/2019,30/06/2028,adidas,10,331,73,No,Not found,10,7
Ramires,https://www.transfermarkt.com/ramires/profil/spieler/54170,Success,54170,spieler,Ramires,24/03/1987 (38),Barra do Piraí,"1,79 m",Brazil,Midfield - Central Midfield,right,Not found,Palmeiras,27/11/2020,-,Not found,3,75,12,Yes,27/11/2020,Not found,2
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,Success,50057,spieler,Aaron Ramsey,26/12/1990 (34),Caerphilly,"1,78 m",Wales,Midfield - Central Midfield,right,Not found,Without Club,31/10/2025,-,adidas,35,1369,263,No,Not found,Not found,14
Nile Ranger,https://www.transfermarkt.com/nile-ranger/profil/spieler/88750,Success,88750,spieler,Nile Ranger,11/04/1991 (34),London,"1,88 m",England  Jamaica,Attack - Centre-Forward,right,Not found,Wellingborough,17/10/2025,-,Not found,1,76,14,No,Not found,Not found,1
Abdul Razak,https://www.transfermarkt.com/abdul-razak/profil/spieler/224090,Success,224090,spieler,Abdul Razak,05/09/1961 (64),Kumasi,Not found,Ghana,Midfield,Not found,Not found,Africa Sports,1/7/1990,-,Not found,0,0,0,Yes,1/7/1990,Not found,0
Andy Reid,https://www.transfermarkt.com/andy-reid/profil/spieler/10008,Success,10008,spieler,Andy Reid,29/07/1982 (43),Dublin,"1,70 m",Ireland,Midfield - Left Midfield,left,Not found,Nott'm Forest,29/07/2016,-,Not found,4,4196,114,Yes,29/07/2016,Not found,3
Steven Reid,https://www.transfermarkt.com/steven-reid/profil/spieler/7330,Success,7330,spieler,Steven Reid,10/03/1981 (44),London,"1,85 m",Ireland  England,Defender - Right-Back,right,Not found,Burnley,1/7/2015,-,Not found,6,519,89,Yes,1/7/2015,Not found,5
Winston Reid,https://www.transfermarkt.com/winston-reid/profil/spieler/37526,Success,37526,spieler,Winston Reid,03/07/1988 (37),Auckland,"1,91 m",New Zealand  Denmark,Defender - Centre-Back,right,Not found,West Ham,25/09/2022,-,Nike,15,1071,157,Yes,25/09/2022,Not found,7
Pepe Reina,https://www.transfermarkt.com/pepe-reina/profil/spieler/7825,Success,7825,spieler,Pepe Reina,31/08/1982 (43),Madrid,"1,88 m",Spain,Goalkeeper,right,Not found,Como,1/7/2025,-,adidas,8,212,45,Yes,1/7/2025,Not found,7
Nigel Reo-Coker,https://www.transfermarkt.com/nigel-reo-coker/profil/spieler/14060,Success,14060,spieler,Nigel Reo-Coker,14/05/1984 (41),London,"1,75 m",England  Sierra Leone,Midfield - Central Midfield,right,Not found,MK Dons,1/7/2018,-,adidas,3,71,14,Yes,1/7/2018,Not found,3
Micah Richards,https://www.transfermarkt.com/micah-richards/profil/spieler/32617,Success,32617,spieler,Micah Richards,24/06/1988 (37),Birmingham,"1,80 m",England  St. Kitts & Nevis,Defender - Right-Back,right,Not found,Aston Villa,26/07/2019,-,adidas,13,460,114,Yes,26/07/2019,Not found,8
Kieran Richardson,https://www.transfermarkt.com/kieran-richardson/profil/spieler/3548,Success,3548,spieler,Kieran Richardson,21/10/1984 (41),London,"1,77 m",England,Defender - Left-Back,left,Not found,Cardiff,1/1/2017,-,Not found,9,233,41,Yes,1/1/2017,Not found,5
Sam Ricketts,https://www.transfermarkt.com/sam-ricketts/profil/spieler/30434,Success,30434,spieler,Sam Ricketts,11/10/1981 (44),Aylesbury,N/A,Wales  England,Defender - Right-Back,N/A,Not found,Coventry,16/11/2016,-,Not found,1,313,44,Yes,16/11/2016,Not found,1
Liam Ridgewell,https://www.transfermarkt.com/liam-ridgewell/profil/spieler/4070,Success,4070,spieler,Liam Ridgewell,21/07/1984 (41),London,"1,88 m",England,Defender - Centre-Back,both,Not found,Southend United,31/01/2020,-,adidas,9,511,72,Yes,31/01/2020,Not found,6
Cristian Riveros,https://www.transfermarkt.com/cristian-riveros/profil/spieler/37713,Success,37713,spieler,Cristian Riveros,16/10/1982 (43),Juan Augusto Saldívar,"1,79 m",Paraguay,Midfield - Defensive Midfield,right,Not found,Libertad,1/1/2025,-,Not found,0,0,0,Yes,1/1/2025,Not found,0
Jason Roberts,https://www.transfermarkt.com/jason-roberts/profil/spieler/3666,Success,3666,spieler,Jason Roberts,25/01/1978 (47),London,"1,85 m",Grenada  England,Attack - Centre-Forward,right,Not found,Reading,20/03/2014,-,Not found,1,468,65,Yes,20/03/2014,Not found,1
Jack Robinson,https://www.transfermarkt.com/jack-robinson/profil/spieler/183299,Success,183299,spieler,Callum Robinson,02/02/1995 (30),Northampton,"1,78 m",Ireland  England,Attack - Centre-Forward,right,Not found,Cardiff,1/9/2022,30/06/2027,Not found,9,372,60,No,Not found,47,6
Paul Robinson,https://www.transfermarkt.com/paul-robinson/profil/spieler/3630,Success,3630,spieler,Paul Robinson,15/10/1979 (46),Beverley,"1,93 m",England,Goalkeeper,right,Not found,Burnley,1/7/2017,-,Not found,8,365,60,Yes,1/7/2017,Not found,7
Rubén Rochina,https://www.transfermarkt.com/rubn-rochina/profil/spieler/67548,Success,67548,spieler,Rubén Rochina,23/03/1991 (34),Sagunt,"1,82 m",Spain,Attack - Right Winger,left,Not found,Without Club,1/7/2024,-,Not found,12,396,60,No,Not found,Not found,9
Hugo Rodallega,https://www.transfermarkt.com/hugo-rodallega/profil/spieler/37934,Success,37934,spieler,Hugo Rodallega,25/07/1985 (40),El Carmelo,"1,81 m",Colombia,Attack - Centre-Forward,right,Not found,Indep. Santa Fe,15/01/2023,31/12/2026,Nike,8,189,31,No,Not found,11,7
Rodrigo,https://www.transfermarkt.com/rodrigo/profil/spieler/357565,Success,357565,spieler,Rodri,22/06/1996 (29),Madrid,"1,91 m",Spain,Midfield - Defensive Midfield,right,Not found,Man City,4/7/2019,30/06/2027,Nike,8,373,72,No,Not found,16,4
Maxi Rodríguez,https://www.transfermarkt.com/maxi-rodrguez/profil/spieler/7895,Success,7895,spieler,Maxi Rodríguez,02/01/1981 (44),Rosario,"1,73 m",Argentina  Spain,Attack - Left Winger,right,Not found,Newell's,1/1/2022,-,Not found,8,84,17,Yes,1/1/2022,Not found,4
Jack Rodwell,https://www.transfermarkt.com/jack-rodwell/profil/spieler/57079,Success,57079,spieler,Jack Rodwell,11/03/1991 (34),Southport,"1,88 m",England,Defender - Centre-Back,right,Not found,Sydney FC,1/7/2025,-,Nike,14,576,122,Yes,1/7/2025,Not found,9
Wayne Rooney,https://www.transfermarkt.com/wayne-rooney/profil/spieler/3332,Success,3332,spieler,Wayne Rooney,24/10/1985 (40),Liverpool,"1,76 m",England,Attack - Centre-Forward,right,Not found,Derby,15/01/2021,-,Nike,26,478,153,Yes,15/01/2021,Not found,13
Danny Rose,https://www.transfermarkt.com/danny-rose/profil/spieler/50174,Success,50174,spieler,Danny Rose,02/07/1990 (35),Doncaster,"1,73 m",England  Jamaica,Defender - Left-Back,left,Not found,Watford,1/7/2024,-,Nike,7,486,107,Yes,1/7/2024,Not found,5
Tomáš Rosický,https://www.transfermarkt.com/tom-rosick/profil/spieler/132,Success,132,spieler,Tomas Rosicky,04/10/1980 (45),Praha,"1,79 m",Czech Republic,Midfield - Attacking Midfield,both,Not found,Sparta Prague,20/12/2017,-,Puma,16,1317,268,Yes,20/12/2017,Not found,9
Wayne Routledge,https://www.transfermarkt.com/wayne-routledge/profil/spieler/14066,Success,14066,spieler,Wayne Routledge,07/01/1985 (40),London,"1,70 m",England  Jamaica,Attack - Left Winger,right,Not found,Swansea,1/7/2021,-,adidas,5,310,24,Yes,1/7/2021,Not found,4
Bacary Sagna,https://www.transfermarkt.com/bacary-sagna/profil/spieler/26764,Success,26764,spieler,Bacary Sagna,14/02/1983 (42),Sens,"1,76 m",France  Senegal,Defender - Right-Back,right,Not found,Montreal,1/1/2020,-,Not found,17,700,131,Yes,1/1/2020,Not found,10
Louis Saha,https://www.transfermarkt.com/louis-saha/profil/spieler/4015,Success,4015,spieler,Louis Saha,08/08/1978 (47),Paris,"1,82 m",France  Guadeloupe,Attack - Centre-Forward,left,Not found,Lazio,8/8/2013,-,Not found,7,331,80,Yes,8/8/2013,Not found,4
