player_name,transfermarkt_id,transfermarkt_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket
Rafael van der Vaart,4192,https://www.transfermarkt.com/rafael-van-der-vaart/profil/spieler/4192,19/04/2000,17 years 02 months 08 days,17,Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,17
Matt Derbyshire,15175,https://www.transfermarkt.com/matt-derbyshire/profil/spieler/15175,7/5/2005,19 years 23 days,19,Premier League,10/9/2005,19,19,Championship,19
Franco Di Santo,59783,https://www.transfermarkt.com/franco-di-santo/profil/spieler/59783,3/9/2006,17 years 04 months 27 days,17,Torneo Clausura (-2017),No second tier career,No second tier career,No second tier career,No second tier career,17
Abou Diaby,26763,https://www.transfermarkt.com/abou-diaby/profil/spieler/26763,14/08/2004,18 years 03 months 03 days,18,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,18
Alessandro Diamanti,23197,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197,25/08/2007,24 years 03 months 23 days,24,Serie A,2/10/2004,21,21,Serie B,21
Mohamed Diamé,70950,https://www.transfermarkt.com/mohamed-diam/profil/spieler/70950,22/08/2009,22 years 02 months 08 days,22,Premier League,30/08/2008,21,21,Segunda División,21
Salif Diao,3600,https://www.transfermarkt.com/salif-diao/profil/spieler/3600,2/8/1997,20 years 05 months 23 days,20,Ligue 1,11/8/1996,19,19,Ligue 2,19
Kagisho Dikgacoi,63285,https://www.transfermarkt.com/kagisho-dikgacoi/profil/spieler/63285,9/9/2006,21 years 09 months 16 days,21,DStv Premiership,19/02/2011,26,26,Championship,21
Sylvain Distin,3356,https://www.transfermarkt.com/sylvain-distin/profil/spieler/3356,28/07/2000,22 years 07 months 12 days,22,Ligue 1,31/07/1999,21,21,Ligue 2,21
Johan Djourou,34561,https://www.transfermarkt.com/johan-djourou/profil/spieler/34561,14/01/2006,18 years 11 months 27 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18
Graham Dorrans,36608,https://www.transfermarkt.com/graham-dorrans/profil/spieler/36608,14/05/2005,18 years 09 days,18,Scottish Premiership,19/08/2006,19,19,Scottish Championship,18
Giovani dos Santos,44674,https://www.transfermarkt.com/giovani-dos-santos/profil/spieler/44674,2/9/2007,18 years 03 months 22 days,18,LaLiga,14/03/2009,19,19,Championship,18
Stewart Downing,4063,https://www.transfermarkt.com/stewart-downing/profil/spieler/4063,24/04/2002,17 years 09 months 02 days,17,Premier League,1/11/2003,19,19,First Division (until 03/04),17
Colin Doyle,28728,https://www.transfermarkt.com/colin-doyle/profil/spieler/28728,12/8/2007,22 years 02 months 00 days,22,Premier League,16/04/2005,19,19,Championship,19
Kevin Doyle,35193,https://www.transfermarkt.com/kevin-doyle/profil/spieler/35193,25/11/2001,18 years 02 months 07 days,18,SSE Airtricity League Premier Division,6/8/2005,21,21,Championship,18
Didier Drogba,3924,https://www.transfermarkt.com/didier-drogba/profil/spieler/3924,30/01/2002,23 years 10 months 19 days,23,Ligue 1,22/05/1999,21,21,Ligue 2,21
Damien Duff,3259,https://www.transfermarkt.com/damien-duff/profil/spieler/3259,11/5/1997,18 years 02 months 09 days,18,Premier League,7/8/1999,20,20,,18
