league_url,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,league_country,league_level
https://www.transfermarkt.com/segunda-division-de-venezuela-apertura/startseite/wettbewerb/VN2A,,,,,,,,Venezuela,Second Tier
https://www.transfermarkt.com/primera-b-apertura/startseite/wettbewerb/CHL2,,,,,,,,Chile,Second Tier
https://www.transfermarkt.com/torneo-federal-a/startseite/wettbewerb/ARG3,,,,,,,,Argentina,Third Tier
https://www.transfermarkt.com/serie-d-girone-h/startseite/wettbewerb/IT4H,,,,,,,,Italy,Fourth Tier
https://www.transfermarkt.com/national-premier-league-victoria/startseite/wettbewerb/A2VI,,,,,,,,Australia,Second Tier
https://www.transfermarkt.com/championnat-national-u19-groupe-c/startseite/wettbewerb/F19C,,,,,,,,France,
https://www.transfermarkt.mx/segunda-division-b-grupo-ii-bis-20-21-/startseite/wettbewerb/ES3B,,,,,,,,España,
https://www.transfermarkt.es/primera-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E3G2,,,,,,,,España,
https://www.transfermarkt.com/prva-liga-srbije/startseite/wettbewerb/SER2,,,,,,,,Serbia,Second Tier
https://www.transfermarkt.com/championnat-national-3-bretagne/startseite/wettbewerb/C3BR,,,,,,,,France,Fifth Tier
https://www.transfermarkt.mx/liga-de-expansion-mx-clausura/startseite/wettbewerb/MEX2,,,,,,,,México,
https://www.transfermarkt.ro/liga-2/startseite/wettbewerb/RO2,,,,,,,,România,
https://www.transfermarkt.mx/chinese-super-league/startseite/wettbewerb/CSL,,,,,,,,China,
https://www.transfermarkt.com/2-division-hauptrunde/startseite/wettbewerb/DK3O,,,,,,,,Denmark,Third Tier
https://www.transfermarkt.com/u21-divisie-1-herbst/startseite/wettbewerb/211F,,,,,,,,Netherlands,
https://www.transfermarkt.com/premijer-liga/startseite/wettbewerb/BOS1,,,,,,,,Bosnia-Herzegovina,First Tier
https://www.transfermarkt.mx/china-league-one/startseite/wettbewerb/CLO,,,,,,,,China,
https://www.transfermarkt.com/ykkonen-2024-/startseite/wettbewerb/FIYK,,,,,,,,Finland,Third Tier
https://www.transfermarkt.com/absa-premiership-promotion-relegation-playoff/startseite/wettbewerb/SFAR,,,,,,,,South Africa,
