club_name,transfermarkt_url,official_name,league,league_code,league_url,league_level,league_country,table_position,years_in_league,market_value,squad_size,average_age,foreigners,foreigners_pct,national_team_players,stadium,stadium_capacity,transfer_record,status
Karlsruher,https://www.transfermarkt.com/karlsruher-sc/startseite/verein/48,Karlsruher SC,2. Bundesliga,L2,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2,Second Tier,Germany,9,7 years,€35.48m,29,25.4,10,,4,BBBank Wildpark,,+€2.60m,ok
UE Olot,https://www.transfermarkt.com/ue-olot/startseite/verein/38456,UE Olot,Segunda Federación - Grupo III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,Fourth Tier,,12,2 years,€1.50m,22,27.3,1,,0,Municipal d’Olot,,,ok
UD Llanera,https://www.transfermarkt.com/ud-llanera/startseite/verein/55881,UD Llanera,Segunda Federación - Gr. I,E4G1,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-i/startseite/wettbewerb/E4G1,,,,,,20,26.0,6,,0,Estadio Pepe Quimarán,,,ok
Sint-Truiden,https://www.transfermarkt.com/vv-st-truiden/startseite/verein/475,Sint,Jupiler Pro League,BE1,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1,First Tier,Belgium,3,11 years,€43.80m,26,25.5,18,,4,Daio Wasabi Stayen Stadium,,+€6.20m,ok
Osijek,https://www.transfermarkt.com/nk-osijek/startseite/verein/327,NK Osijek,SuperSport HNL,KR1,https://www.transfermarkt.com/1-hnl/startseite/wettbewerb/KR1,First Tier,,9,19 years,€19.65m,31,24.7,15,,2,Opus Arena,,+€1.15m,ok
Linares Dep,https://www.transfermarkt.com/linares-deportivo/startseite/verein/12351,Linares Deportivo,Segunda Federación - Grupo IV,E4G4,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iv/startseite/wettbewerb/E4G4,Fourth Tier,,8,2 years,€1.58m,23,26.9,5,,0,Linarejos,,,ok
Polonia Warsaw,https://www.transfermarkt.com/polonia-warschau/startseite/verein/2745,Polonia Warsaw,Betclic 1 Liga,PL2,https://www.transfermarkt.com/fortuna-1-liga/startseite/wettbewerb/PL2,Second Tier,,6,3 years,€6.10m,32,25.8,10,,0,Stadion Polonii Warszawa im. gen. Kazimierza Sosnkowskiego,,,ok
Real Betis,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150,Real Betis Balompié,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,5,11 years,€248.80m,27,29.2,13,,11,La Cartuja,,,ok
Colorado Rapids,https://www.transfermarkt.com/colorado-rapids/startseite/verein/1247,Colorado Rapids,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,10,31 years,€42.90m,29,24.0,17,,7,Dick's Sporting Goods Park,,,ok
SC Salgueiros,https://www.transfermarkt.com/sc-salgueiros/startseite/verein/2434,SC Salgueiros,Campeonato de Portugal - Série B,CPSB,https://www.transfermarkt.com/campeonato-de-portugal-serie-b/startseite/wettbewerb/CPSB,Fourth Tier,,9,3 years,,26,26.1,9,,0,Complexo Desportivo de Campanhã,,,ok
Fortuna Sittard,https://www.transfermarkt.com/fortuna-sittard/startseite/verein/385,Fortuna Sittard,Eredivisie,NL1,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1,First Tier,Netherlands,11,8 years,€19.73m,28,27.2,15,,2,Fortuna Sittard Stadion,,+€2.10m,ok
Union SG,https://www.transfermarkt.com/royale-union-saint-gilloise/startseite/verein/3948,Union Saint,Jupiler Pro League,BE1,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1,First Tier,Belgium,1,5 years,€122.50m,27,25.2,18,,9,Stade Joseph Mariën,,+€48.46m,ok
Adana Demirspor,https://www.transfermarkt.com/adana-demirspor/startseite/verein/3840,Adana Demirspor,1.Lig,TR2,https://www.transfermarkt.com/1-lig/startseite/wettbewerb/TR2,Second Tier,Turkey,20,1 year,€1.23m,25,19.2,0,,0,Yeni Adana Stadyumu,,+€1.00m,ok
Metalist,https://www.transfermarkt.com/metalist-1925-kharkiv/startseite/verein/55686,Metalist 1925 Kharkiv,Premier Liga,UKR1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1,First Tier,Ukraine,6,1 year,€20.00m,31,26.1,8,,3,Tsentralnyi Polissya,,,ok
Rampla Juniors,https://www.transfermarkt.com/rampla-juniors-fc/startseite/verein/14598,Rampla Juniors FC,Segunda División,URU2,https://www.transfermarkt.com/segunda-division-profesional/startseite/wettbewerb/URU2,,,,,,21,26.5,1,,0,Estadio Olímpico (Montevideo),,,ok
Videoton,https://www.transfermarkt.com/mol-fehervar-fc/startseite/verein/11107,Videoton FC Fehérvár,Nemzeti Bajnokság II.,UN2,https://www.transfermarkt.com/nemzeti-bajnoksag-ii-/startseite/wettbewerb/UN2,Second Tier,,7,1 year,€3.88m,29,25.0,1,,0,Sóstói Stadion,,,ok
Sturm Graz,https://www.transfermarkt.com/sk-sturm-graz/startseite/verein/122,SK Sturm Graz,Bundesliga,A1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/A1,First Tier,Austria,2,52 years,€43.13m,26,24.2,16,,9,Merkur Arena,,+€3.33m,ok
PAS Giannina,https://www.transfermarkt.com/pas-giannina/startseite/verein/2671,PAS Giannina,Super League 2,GRS2,https://www.transfermarkt.com/super-league-2/startseite/wettbewerb/GRS2,Second Tier,,9,2 years,€2.78m,30,21.7,8,,1,Stadio Zosimades,,,ok
Al-Ain,https://www.transfermarkt.com/real-ainaro-unidos/startseite/verein/18041,Real Ainaro Unidos,,,,,,,,,1,42.7,0,,0,-,,,ok
Paderborn 07,https://www.transfermarkt.com/sc-paderborn-07/startseite/verein/127,SC Paderborn 07,2. Bundesliga,L2,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2,Second Tier,Germany,4,6 years,€40.58m,26,24.7,2,,1,Home Deluxe Arena,,+€10.85m,ok
Aalborg,https://www.transfermarkt.com/aalborg-bk/startseite/verein/1053,Aalborg BK,1.Division,DK2,https://www.transfermarkt.com/nordicbet-liga/startseite/wettbewerb/DK2,Second Tier,,7,1 year,€10.18m,26,24.8,14,,1,Aalborg Portland Park,,+€7.12m,ok
Sogndal,https://www.transfermarkt.com/sogndal-il/startseite/verein/2038,Sogndal IL,OBOS-ligaen,NO2,https://www.transfermarkt.com/obos-ligaen/startseite/wettbewerb/NO2,Second Tier,,11,9 years,€4.43m,24,24.1,10,,3,Fosshaugane Campus,,,ok
IF Gnistan,https://www.transfermarkt.com/if-gnistan/startseite/verein/23564,IF Gnistan,Veikkausliiga,FI1,https://www.transfermarkt.com/veikkausliiga/startseite/wettbewerb/FI1,First Tier,,10,3 years,€2.93m,28,24.5,10,,0,Markku.fi Areena,,,ok
Guijuelo,https://www.transfermarkt.com/cd-guijuelo/startseite/verein/11615,CD Guijuelo,Segunda Federación - Gr. I,E4G1,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-i/startseite/wettbewerb/E4G1,,,,,,20,27.7,4,,0,Luis Ramos,,,ok
Real UniÃ³n,https://www.transfermarkt.com/real-union-club/startseite/verein/12405,Real Unión Club,Segunda Federación - Grupo II,E4G2,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E4G2,Fourth Tier,,1,1 year,€3.00m,23,25.4,3,,0,Stadium Gal,,,ok
Ãguilas,https://www.transfermarkt.com/rionegro-aguilas/startseite/verein/20590,Rionegro Águilas,Liga DIMAYOR Apertura,COLP,https://www.transfermarkt.com/liga-dimayor-i/startseite/wettbewerb/COLP,First Tier,,12,16 years,€7.23m,24,27.5,2,,0,Estadio Cincuentenario,,,ok
Hammarby,https://www.transfermarkt.com/hammarby-if/startseite/verein/1059,Hammarby IF,Allsvenskan,SE1,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1,First Tier,Sweden,2,12 years,€25.70m,24,24.3,10,,6,3Arena,,+€21.10m,ok
Andratx,https://www.transfermarkt.com/ce-andratx/startseite/verein/73876,CE Andratx,Segunda Federación - Grupo III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,Fourth Tier,,15,3 years,€1.08m,24,25.9,4,,0,Municipal de Sa Plana- Andratx,,,ok
Modena,https://www.transfermarkt.com/modena-fc-2018/startseite/verein/1385,Modena FC,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,6,4 years,€34.25m,28,26.4,9,,2,Alberto Braglia,,+€4.85m,ok
FC Copenhagen,https://www.transfermarkt.com/fc-kopenhagen/startseite/verein/190,FC Copenhagen,Superliga,DK1,https://www.transfermarkt.com/superligaen/startseite/wettbewerb/DK1,First Tier,Denmark,7,34 years,€73.95m,29,25.8,20,,9,Parken - connected by 3,,+€2.74m,ok
Motherwell,https://www.transfermarkt.com/motherwell-fc/startseite/verein/987,Motherwell FC,Scottish Premiership,SC1,https://www.transfermarkt.com/scottish-premiership/startseite/wettbewerb/SC1,First Tier,Scotland,4,41 years,€14.53m,24,27.1,13,,3,Fir Park,,+€5.22m,ok
Odense,https://www.transfermarkt.com/odense-boldklub/startseite/verein/173,Odense Boldklub,Superliga,DK1,https://www.transfermarkt.com/superligaen/startseite/wettbewerb/DK1,First Tier,Denmark,8,1 year,€16.68m,28,25.4,12,,6,Nature Energy Park,,+€4.80m,ok
FC Tokyo,https://www.transfermarkt.com/fc-tokyo/startseite/verein/6631,FC Tokyo,J1 100 Year Vision League,J1YV,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,,,2,1 year,€15.68m,36,26.2,3,,4,AJINOMOTO Stadium,,+€1.70m,ok
Concordia,https://www.transfermarkt.com/concordia-chiajna/startseite/verein/15945,Concordia Chiajna,Liga 2,RO2,https://www.transfermarkt.com/liga-2/startseite/wettbewerb/RO2,Second Tier,,13,7 years,€2.85m,23,26.2,6,,0,Concordia,,,ok
Ã‘ublense,https://www.transfermarkt.com/cd-nublense/startseite/verein/14723,CD Ñublense,Liga de Primera,CLPD,https://www.transfermarkt.com/primera-division-de-chile/startseite/wettbewerb/CLPD,First Tier,,8,6 years,€6.73m,23,27.7,6,,0,Nelson Oyarzún,,,ok
Paniliakos,https://www.transfermarkt.com/paniliakos-pyrgos/startseite/verein/2726,Paniliakos AS Pyrgos,Football League South,GR2S,https://www.transfermarkt.com/football-league-sud/startseite/wettbewerb/GR2S,,,,,,0,0.0,,,0,Dimotiko Stadio Pyrgou,,,ok
Deinze,https://www.transfermarkt.com/kmsk-deinze/startseite/verein/2321,KMSK Deinze (,Challenger Pro League,BE2,https://www.transfermarkt.com/proximus-league/startseite/wettbewerb/BE2,,,,,,0,0.0,,,0,Burgemeester Van de Wiele Stadion,,,ok
Machine Sazi,https://www.transfermarkt.com/machine-sazi-tabriz/startseite/verein/27818,Machine Sazi Tabriz,Azadegan League,IRN2,https://www.transfermarkt.com/azadegan-league/startseite/wettbewerb/IRN2,,,,,,3,24.0,0,,0,Takhti Tabriz (Bagh Shomal),,,ok
Jumilla,https://www.transfermarkt.com/jumilla-cf-aufgel-/startseite/verein/15719,Jumilla CF (,2ª B - Grupo IV,ES3D,https://www.transfermarkt.com/segunda-division-b-grupo-iv-bis20-21-/startseite/wettbewerb/ES3D,,,,,,0,0.0,,,0,Municipal de La Hoya,,,ok
Bucaspor,https://www.transfermarkt.com/bucaspor-1928/startseite/verein/44286,Bucaspor 1928,2.Lig Beyaz,TR3A,https://www.transfermarkt.com/2-lig-beyaz/startseite/wettbewerb/TR3A,Third Tier,Turkey,19,1 year,€735k,28,20.8,0,,0,Yeni Buca Stadı,,,ok
Apollon Smyrnis,https://www.transfermarkt.com/apollon-smyrnis/startseite/verein/441,Apollon Smyrni,Super League 2,GRS2,https://www.transfermarkt.com/super-league-2/startseite/wettbewerb/GRS2,,,,,,13,27.7,2,,0,"Gipedo Rizoupolis ""Georgios Kamaras""",,,ok
Sepahan,https://www.transfermarkt.com/sepahan-fc/startseite/verein/4947,Sepahan FC,Persian Gulf Pro League,IRN1,https://www.transfermarkt.com/persian-gulf-pro-league/startseite/wettbewerb/IRN1,First Tier,,3,25 years,€16.70m,33,27.7,5,,12,Naghsh-e-Jahan Stadium,,+€661k,ok
Necaxa,https://www.transfermarkt.com/club-necaxa/startseite/verein/1146,Club Necaxa,Liga MX Apertura,MEXA,https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA,First Tier,,13,10 years,€42.55m,21,25.4,10,,1,Estadio Victoria,,+€13.43m,ok
Lorca Deportiva,https://www.transfermarkt.com/cf-lorca-deportiva/startseite/verein/49806,CF Lorca Deportiva,Segunda Federación - Grupo IV,E4G4,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iv/startseite/wettbewerb/E4G4,Fourth Tier,,10,1 year,€2.18m,23,26.6,3,,0,Francisco Artés Carrasco,,,ok
Kaiserslautern,https://www.transfermarkt.com/1-fc-kaiserslautern/startseite/verein/2,1.FC Kaiserslautern,2. Bundesliga,L2,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2,Second Tier,Germany,7,4 years,€32.48m,27,25.7,11,,5,Fritz-Walter-Stadion,,+€2.45m,ok
Union Berlin,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89,1.FC Union Berlin,Bundesliga,L1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,First Tier,Germany,12,7 years,€123.85m,26,27.1,17,,8,Stadion An der Alten Försterei,,+€300k,ok
Monarchs,https://www.transfermarkt.com/real-monarchs-slc/startseite/verein/45806,Real Monarchs SLC,MLS Next Pro,MNP3,https://www.transfermarkt.com/mls-next-pro/startseite/wettbewerb/MNP3,Third Tier,,10,5 years,€1.35m,28,21.1,10,,1,Zions Bank Stadium,,,ok
Tolima,https://www.transfermarkt.com/deportes-tolima/startseite/verein/10503,Deportes Tolima,Liga DIMAYOR Apertura,COLP,https://www.transfermarkt.com/liga-dimayor-i/startseite/wettbewerb/COLP,First Tier,,6,17 years,€12.90m,25,26.9,2,,1,Estadio Manuel Murillo Toro,,+€1.29m,ok
CF Lorca Dep,https://www.transfermarkt.com/cf-lorca-deportiva/startseite/verein/49806,CF Lorca Deportiva,Segunda Federación - Grupo IV,E4G4,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iv/startseite/wettbewerb/E4G4,Fourth Tier,,10,1 year,€2.18m,23,26.6,3,,0,Francisco Artés Carrasco,,,ok
Puente Genil,https://www.transfermarkt.com/salerm-puente-genil-fc/startseite/verein/60350,Salerm Puente Genil FC,Segunda Federación - Grupo IV,E4G4,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iv/startseite/wettbewerb/E4G4,Fourth Tier,,14,1 year,€875k,26,26.2,4,,0,Manuel Polinario,,,ok
Las Rozas CF,https://www.transfermarkt.com/las-rozas-cf/startseite/verein/16736,Las Rozas CF,2ª B - Grupo V,ES3E,https://www.transfermarkt.com/segunda-division-b-grupo-v-bis-20-21-/startseite/wettbewerb/ES3E,,,,,,22,25.9,2,,0,Dehesa de Navalcarbón,,,ok
Jamshedpur,https://www.transfermarkt.com/jamshedpur-fc/startseite/verein/60816,Jamshedpur FC,Indian Super League,IND1,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,First Tier,India,4,9 years,€2.93m,28,28.1,6,,3,JRD Tata Sports Complex,,,ok
Newcastle,https://www.transfermarkt.com/newcastle-united/startseite/verein/762,Newcastle United,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,13,9 years,€708.25m,26,28.2,12,,15,St James' Park,,,ok
Gamba Osaka,https://www.transfermarkt.com/gamba-osaka/startseite/verein/596,Gamba Osaka,J1 100 Year Vision League,J1YV,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,,,3,1 year,€15.43m,35,26.5,3,,1,PANASONIC Stadium Suita,,+€2.50m,ok
San Fernando,https://www.transfermarkt.com/ud-san-fernando/startseite/verein/57379,UD San Fernando,Segunda Federación - Gr. V,E4G5,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-v/startseite/wettbewerb/E4G5,,,,,,21,28.1,4,,0,Eleuterio Valerón,,,ok
Beerschot,https://www.transfermarkt.com/beerschot-v-a-/startseite/verein/41274,Beerschot VA,Challenger Pro League,BE2,https://www.transfermarkt.com/proximus-league/startseite/wettbewerb/BE2,Second Tier,,3,1 year,€10.88m,32,26.3,20,,2,Olympisch Stadion,,+€1.15m,ok
MVV Maastricht,https://www.transfermarkt.com/mvv-maastricht/startseite/verein/384,MVV Maastricht,Keuken Kampioen Divisie,NL2,https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2,Second Tier,,19,26 years,€5.65m,29,22.9,15,,1,"Stadion ""De Geusselt""",,+€260k,ok
Nassaji,https://www.transfermarkt.com/fc-nassaji-mazandaran/startseite/verein/26013,FC Nassaji Mazandaran,Azadegan League,IRN2,https://www.transfermarkt.com/azadegan-league/startseite/wettbewerb/IRN2,Second Tier,,2,1 year,€4.40m,35,25.5,0,,0,Vatani Stadium,,,ok
RNK Split,https://www.transfermarkt.com/rnk-split/startseite/verein/420,RNK Split,SuperSport HNL,KR1,https://www.transfermarkt.com/1-hnl/startseite/wettbewerb/KR1,,,,,,23,26.5,0,,0,Park mladezi,,,ok
Juve Stabia,https://www.transfermarkt.com/ss-juve-stabia/startseite/verein/5587,SS Juve Stabia,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,7,2 years,€23.45m,28,25.2,4,,1,Romeo Menti,,+€1.73m,ok
Empoli,https://www.transfermarkt.com/fc-empoli/startseite/verein/749,FC Empoli,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,15,1 year,€34.55m,33,24.6,9,,1,Carlo Castellani,,+€23.33m,ok
Rajasthan United FC,https://www.transfermarkt.com/rajasthan-united-fc-ii/startseite/verein/95546,Rajasthan United FC II,,,,,,,,,21,24.4,0,,0,-,,,ok
Ventforet Kofu,https://www.transfermarkt.com/ventforet-kofu/startseite/verein/10999,Ventforet Kofu,J2/J3 100 Year Vision League,J2J3,https://www.transfermarkt.com/j2-j3-100-year-vision-league/startseite/wettbewerb/J2J3,,,1,1 year,€4.70m,33,27.4,3,,0,JIT Recycle Ink Stadium,,,ok
Arenteiro,https://www.transfermarkt.com/cd-arenteiro/startseite/verein/58946,CD Arenteiro,Primera Federación - Grupo I,E3G1,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,Third Tier,,20,3 years,€2.95m,23,26.8,3,,0,O Espiñedo,,,ok
Metropolitanos,https://www.transfermarkt.com/metropolitanos-fc/startseite/verein/42918,Metropolitanos FC,Liga FUTVE Apertura,VZ1A,https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/VZ1A,First Tier,,2,3 years,€4.93m,30,25.6,5,,0,Estadio Olímpico de la Ciudad Universitaria,,+€250k,ok
Badalona,https://www.transfermarkt.com/fc-badalona/startseite/verein/6638,CF Badalona,Segunda Federación - Gr. III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,,,,,,24,26.9,2,,0,Municipal de Badalona,,,ok
Jiangsu Suning,https://www.transfermarkt.com/jiangsu-fc/startseite/verein/22219,Jiangsu FC (1994,Super League,CSL,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,,,,,,0,0.0,,,0,Nanjing Olympic Sports Center Stadium,,,ok
Vojvodina,https://www.transfermarkt.com/fk-vojvodina-novi-sad/startseite/verein/448,FK Vojvodina Novi Sad,Super liga Srbije,SER1,https://www.transfermarkt.com/super-liga-srbije/startseite/wettbewerb/SER1,First Tier,,2,22 years,€18.85m,26,26.7,7,,4,Stadion Karadjordje,,+€9.10m,ok
Servette FC,https://www.transfermarkt.com/servette-fc/startseite/verein/61,Servette FC,Super League,C1,https://www.transfermarkt.com/super-league/startseite/wettbewerb/C1,First Tier,,2,7 years,€18.93m,27,27.2,17,,3,Stade de Genève,,+€1.89m,ok
San Antonio,https://www.transfermarkt.com/san-antonio-bulo/startseite/verein/92979,San Antonio Bulo Bulo,División Profesional,BO1A,https://www.transfermarkt.com/division-profesional-apertura/startseite/wettbewerb/BO1A,First Tier,,11,2 years,€6.08m,29,25.8,8,,2,Estadio Carlos Villegas de Entre Ríos,,,ok
Mohammedan,https://www.transfermarkt.com/mohammedan-sc-dhaka-/startseite/verein/5700,Mohammedan SC (Dhaka),Bangladesh Football League,BGD1,https://www.transfermarkt.com/bangladesh-premier-league/startseite/wettbewerb/BGD1,First Tier,,6,9 years,€1.97m,34,26.3,4,,7,Comilla Stadium / Shaheed Dhirendranath Datta Stadium,,,ok
Excelsior,https://www.transfermarkt.com/sbv-excelsior-rotterdam/startseite/verein/798,Excelsior Rotterdam,Eredivisie,NL1,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1,First Tier,Netherlands,14,1 year,€15.30m,24,24.5,7,,1,"Stadion ""Woudestein""",,+€100k,ok
Lausanne-Sport,https://www.transfermarkt.com/team-vaud-u21/startseite/verein/15446,FC Lausanne,Promotion League,CHPR,https://www.transfermarkt.com/promotion-league/startseite/wettbewerb/CHPR,Third Tier,,17,1 year,€675k,25,20.5,4,,0,Stade du Bois-Gentil,,,ok
Carlisle United,https://www.transfermarkt.com/carlisle-united/startseite/verein/1220,Carlisle United,National League,CNAT,https://www.transfermarkt.com/national-league/startseite/wettbewerb/CNAT,Fifth Tier,,3,1 year,€600k,31,25.6,10,,1,Brunton Park,,,ok
Platense,https://www.transfermarkt.com/club-atletico-platense/startseite/verein/928,Club Atlético Platense,Torneo Apertura,ARG1,https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,First Tier,Argentina,12,2 years,€28.18m,35,25.9,3,,0,Ciudad de Vicente López,,+€2.32m,ok
Sandhausen,https://www.transfermarkt.com/sv-sandhausen/startseite/verein/254,SV Sandhausen,Regionalliga Südwest,RLSW,https://www.transfermarkt.com/regionalliga-sudwest/startseite/wettbewerb/RLSW,Fourth Tier,,4,1 year,€3.83m,29,24.5,1,,0,Stadion am Hardtwald,,,ok
Slovan Bratislava,https://www.transfermarkt.com/slovan-bratislava/startseite/verein/540,Slovan Bratislava,Niké Liga,SLO1,https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/SLO1,First Tier,,1,20 years,€34.90m,26,27.5,16,,6,NFS - Tehelné Pole,,+€5.18m,ok
Hapoel Tel Aviv,https://www.transfermarkt.com/hapoel-tel-aviv/startseite/verein/1017,Hapoel Tel Aviv,Ligat ha'Al,ISR1,https://www.transfermarkt.com/ligat-haal/startseite/wettbewerb/ISR1,First Tier,,4,1 year,€13.49m,30,25.4,8,,3,Bloomfield,,,ok
Rizespor,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126,Caykur Rizespor,Süper Lig,TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,First Tier,Turkey,8,3 years,€40.00m,25,26.7,15,,8,Çaykur Didi,,,ok
Westerlo,https://www.transfermarkt.com/kvc-westerlo/startseite/verein/968,KVC Westerlo,Jupiler Pro League,BE1,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1,First Tier,Belgium,9,4 years,€45.45m,29,23.7,20,,3,Het Kuipje,,+€13.68m,ok
Wilmington,https://www.transfermarkt.com/unc-wilmington-seahawks-unc-wilmington-/startseite/verein/39623,UNC Wilmington Seahawks (UNC Wilmington),,,,,,,,,11,21.6,6,,0,-,,,ok
MSV Duisburg,https://www.transfermarkt.com/msv-duisburg/startseite/verein/52,MSV Duisburg,3. Liga,L3,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3,Third Tier,Germany,3,1 year,€8.08m,31,25.8,3,,0,Schauinsland-Reisen-Arena,,,ok
Compostela,https://www.transfermarkt.com/sd-compostela/startseite/verein/2855,SD Compostela,Segunda Federación - Gr. I,E4G1,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-i/startseite/wettbewerb/E4G1,,,,,,21,27.5,2,,0,Verónica Boquete de San Lázaro,,,ok
Ingolstadt 04,https://www.transfermarkt.com/fc-ingolstadt-04/startseite/verein/4795,FC Ingolstadt 04,3. Liga,L3,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3,Third Tier,Germany,13,4 years,€7.20m,26,25.3,9,,0,Audi Sportpark,,+€1.65m,ok
Dresden,https://www.transfermarkt.com/sg-dynamo-dresden/startseite/verein/129,SG Dynamo Dresden,2. Bundesliga,L2,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2,Second Tier,Germany,13,1 year,€19.48m,28,26.8,3,,1,Rudolf-Harbig-Stadion,,,ok
Ä°stanbulspor,https://www.transfermarkt.com/istanbulspor/startseite/verein/924,Istanbulspor,1.Lig,TR2,https://www.transfermarkt.com/1-lig/startseite/wettbewerb/TR2,Second Tier,Turkey,11,2 years,€8.63m,39,24.1,11,,2,Esenyurt Necmi Kadıoğlu Stadyumu,,+€3.72m,ok
Vejle BK,https://www.transfermarkt.com/vejle-boldklub/startseite/verein/443,Vejle Boldklub,Superliga,DK1,https://www.transfermarkt.com/superligaen/startseite/wettbewerb/DK1,First Tier,Denmark,12,3 years,€14.28m,30,25.1,12,,3,Vejle Stadion,,,ok
Casa Pia,https://www.transfermarkt.com/casa-pia-ac/startseite/verein/3268,Casa Pia AC,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,First Tier,Poland,16,4 years,€24.80m,28,27.7,19,,3,Estádio Municipal de Rio Maior,,+€11.08m,ok
Unirea Urziceni,https://www.transfermarkt.com/unirea-urziceni/startseite/verein/10442,Unirea Urziceni (,SuperLiga,RO1,https://www.transfermarkt.com/liga-1/startseite/wettbewerb/RO1,,Romania,,,,0,0.0,,,0,Tineretului Urziceni,,,ok
Clinceni,https://www.transfermarkt.com/lps-clinceni/startseite/verein/113007,ACS LPSHD Clinceni,,,,,,,,€25k,24,22.1,0,,0,Clinceni Arena,,,ok
CD Calahorra,https://www.transfermarkt.com/cd-calahorra/startseite/verein/4030,CD Calahorra,Segunda Federación - Gr. II,E4G2,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E4G2,,,,,,20,25.2,6,,0,La Planilla,,,ok
Alverca,https://www.transfermarkt.com/fc-alverca/startseite/verein/2521,FC Alverca,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,First Tier,Poland,11,1 year,€33.55m,29,24.5,23,,2,Complexo Desportivo FC Alverca,,+€6.24m,ok
Shanghai SIPG,https://www.transfermarkt.com/shanghai-port/startseite/verein/27190,Shanghai Port,Chinese Super League,CSL,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,First Tier,,13,14 years,€16.45m,36,26.4,7,,9,SAIC Motor Pudong Arena,,,ok
CD Extremadura,https://www.transfermarkt.com/cd-extremadura-1924/startseite/verein/101648,CD Extremadura 1924,Segunda Federación - Grupo IV,E4G4,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iv/startseite/wettbewerb/E4G4,Fourth Tier,,1,1 year,€2.03m,22,28.8,3,,0,Francisco de la Hera,,,ok
Linense,https://www.transfermarkt.com/real-balompedica-linense-b/startseite/verein/50209,Real Balompédica Linense B,,,,,,,,€50k,6,22.7,0,,0,-,,,ok
