league_url,league_country,league_level,league_name_tm
https://www.transfermarkt.com/k-league-1/startseite/wettbewerb/RSK1,"Korea, South",First Tier,K League 1 2026
https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1,Ukraine,First Tier,Premier Liga 25/26
https://www.transfermarkt.com/liga-2/startseite/wettbewerb/RO2,Romania,Second Tier,Liga 2 25/26
https://www.transfermarkt.com/3-lig-grup-2/startseite/wettbewerb/TR4B,Türkiye,Fourth Tier,3.Lig Grup 2 25/26
https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iv/startseite/wettbewerb/E4G4,Spain,Fourth Tier,Segunda Federación
https://www.transfermarkt.com/2-lig-beyaz/startseite/wettbewerb/TR3A,Türkiye,Third Tier,2.Lig Beyaz 25/26
https://www.transfermarkt.com/segunda-division-b-grupo-i-bis-20-21-/startseite/wettbewerb/ES3A,Spain,Third Tier,Segunda División B
https://www.transfermarkt.com/1-division/startseite/wettbewerb/RU2,Russia,Second Tier,1.Division 25/26
https://www.transfermarkt.com/3-lig-grup-3/startseite/wettbewerb/TR4C,Türkiye,Fourth Tier,3.Lig Grup 3 25/26
https://www.transfermarkt.com/scottish-league-one/startseite/wettbewerb/SC3,Scotland,Third Tier,Scottish League One 25/26
https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3,Germany,Third Tier,3. Liga 26/27
https://www.transfermarkt.com/segunda-division-b-grupo-iii-bis-20-21-/startseite/wettbewerb/ES3C,Spain,Third Tier,Segunda División B
https://www.transfermarkt.com/protathlima-cyta/startseite/wettbewerb/ZYP1,Cyprus,First Tier,Cyprus League 25/26
https://www.transfermarkt.com/football-league/startseite/wettbewerb/GR2,Greece,Third Tier,Football League 20/21
https://www.transfermarkt.com/torneo-intermedio/startseite/wettbewerb/URUI,Uruguay,First Tier,Liga AUF Intermedio 2026
https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GHPL,Ghana,First Tier,Ghana Premier League 25/26
https://www.transfermarkt.com/proximus-league/startseite/wettbewerb/BE2,Belgium,Second Tier,Challenger Pro League 25/26
https://www.transfermarkt.com/superettan/startseite/wettbewerb/SE2,Sweden,Second Tier,Superettan 2026
