player_name,transfermarkt_url,deceased,death_date,death_age
Fabian Delph,https://www.transfermarkt.com/fabian-delph/profil/spieler/50362,No,Not found,Not found
Mousa Dembélé,https://www.transfermarkt.com/mousa-dembl/profil/spieler/19368,No,Not found,Not found
Ishmel Demontagnac,https://www.transfermarkt.com/ishmel-demontagnac/profil/spieler/42188,No,Not found,Not found
Clint Dempsey,https://www.transfermarkt.com/clint-dempsey/profil/spieler/27577,No,Not found,Not found
Denílson,https://www.transfermarkt.com/denilson/profil/spieler/42352,No,Not found,Not found
Edwin van der Sar,https://www.transfermarkt.com/edwin-van-der-sar/profil/spieler/3516,No,Not found,Not found
Rafael van der Vaart,https://www.transfermarkt.com/rafael-van-der-vaart/profil/spieler/4192,No,Not found,Not found
Matt Derbyshire,https://www.transfermarkt.com/matt-derbyshire/profil/spieler/15175,No,Not found,Not found
Franco Di Santo,https://www.transfermarkt.com/franco-di-santo/profil/spieler/59783,No,Not found,Not found
Abou Diaby,https://www.transfermarkt.com/abou-diaby/profil/spieler/26763,No,Not found,Not found
Alessandro Diamanti,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197,No,Not found,Not found
Mohamed Diamé,https://www.transfermarkt.com/mohamed-diam/profil/spieler/70950,No,Not found,Not found
Salif Diao,https://www.transfermarkt.com/salif-diao/profil/spieler/3600,No,Not found,Not found
Kagisho Dikgacoi,https://www.transfermarkt.com/kagisho-dikgacoi/profil/spieler/63285,No,Not found,Not found
Sylvain Distin,https://www.transfermarkt.com/sylvain-distin/profil/spieler/3356,No,Not found,Not found
Johan Djourou,https://www.transfermarkt.com/johan-djourou/profil/spieler/34561,No,Not found,Not found
Graham Dorrans,https://www.transfermarkt.com/graham-dorrans/profil/spieler/36608,No,Not found,Not found
Giovani dos Santos,https://www.transfermarkt.com/giovani-dos-santos/profil/spieler/44674,No,Not found,Not found
Stewart Downing,https://www.transfermarkt.com/stewart-downing/profil/spieler/4063,No,Not found,Not found
Colin Doyle,https://www.transfermarkt.com/colin-doyle/profil/spieler/28728,No,Not found,Not found
Kevin Doyle,https://www.transfermarkt.com/kevin-doyle/profil/spieler/35193,No,Not found,Not found
Didier Drogba,https://www.transfermarkt.com/didier-drogba/profil/spieler/3924,No,Not found,Not found
Damien Duff,https://www.transfermarkt.com/damien-duff/profil/spieler/3259,No,Not found,Not found
David Dunn,https://www.transfermarkt.com/david-dunn/profil/spieler/4243,No,Not found,Not found
Richard Dunne,https://www.transfermarkt.com/richard-dunne/profil/spieler/3807,No,Not found,Not found
Kieron Dyer,https://www.transfermarkt.com/kieron-dyer/profil/spieler/3118,No,Not found,Not found
Edin Džeko,https://www.transfermarkt.com/edin-deko/profil/spieler/28396,No,Not found,Not found
Neal Eardley,https://www.transfermarkt.com/neal-eardley/profil/spieler/49428,No,Not found,Not found
Sylvan Ebanks-Blake,https://www.transfermarkt.com/sylvan-ebanks-blake/profil/spieler/27621,No,Not found,Not found
Emmanuel Eboué,https://www.transfermarkt.com/emmanuel-ebou/profil/spieler/13058,No,Not found,Not found
Nathan Eccleston,https://www.transfermarkt.com/nathan-eccleston/profil/spieler/88983,No,Not found,Not found
David Edwards,https://www.transfermarkt.com/david-edwards/profil/spieler/54949,No,Not found,Not found
Rob Edwards,https://www.transfermarkt.com/rob-edwards/profil/spieler/4068,No,Not found,Not found
Johan Elmander,https://www.transfermarkt.com/johan-elmander/profil/spieler/4383,No,Not found,Not found
Ahmed Elmohamady,https://www.transfermarkt.com/ahmed-elmohamady/profil/spieler/66333,No,Not found,Not found
George Elokobi,https://www.transfermarkt.com/george-elokobi/profil/spieler/42048,No,Not found,Not found
Brett Emerton,https://www.transfermarkt.com/brett-emerton/profil/spieler/4367,No,Not found,Not found
Jay Emmanuel-Thomas,https://www.transfermarkt.com/jay-emmanuel-thomas/profil/spieler/27969,No,Not found,Not found
José Enrique,https://www.transfermarkt.com/jos-enrique/profil/spieler/35571,No,Not found,Not found
