player_name,player_url,status,name_home_country,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,transfermarkt_id,transfermarkt_url
Dedryck Boyata,https://fbref.com/en/players/7c473e12/Dedryck-Boyata,Success,Not found,"November 28, 1990",Not found,188cm,Belgium,DF (CB-FB),Right,2009-2010,18 years,Manchester City,2009,88262,https://www.transfermarkt.com/dedryck-boyata/profil/spieler/88262
Emmerson Boyce,https://fbref.com/en/players/84bfbd38/Emmerson-Boyce,Success,Not found,"September 24, 1979",Not found,184cm,Barbados bb  Other: England,DF (CB),Right,2002-2003,22 years,Luton Town,2002,19641,https://www.transfermarkt.com/emmerson-boyce/profil/spieler/19641
Michael Bradley,https://fbref.com/en/players/fd5e3a73/Michael-Bradley,Success,Not found,"July 31, 1987",Not found,189cm,United States,DF-MF (CM-DM),Right,2005,17 years,MetroStars,Not found,30593,https://www.transfermarkt.com/michael-bradley/profil/spieler/30593
Titus Bramble,https://fbref.com/en/players/83ac7c3c/Titus-Bramble,Success,Not found,"July 31, 1981",Not found,185cm,England eng,DF (CB),Not found,2000-2001,19 years,Ipswich Town,2000,3130,https://www.transfermarkt.com/titus-bramble/profil/spieler/3130
Wayne Bridge,https://fbref.com/en/players/86b982bc/Wayne-Bridge,Success,Not found,"August 5, 1980",Not found,178cm,England eng,"DF (FB, left)",Not found,1998-1999,17 years,Southampton,1998,3682,https://www.transfermarkt.com/wayne-bridge/profil/spieler/3682
Matthew Briggs,https://fbref.com/en/players/182c89db/Matthew-Briggs,Success,Not found,"March 6, 1991",Not found,189cm,Guyana gy  Other: England,DF (FB),Left,2006-2007,15 years,Fulham,2006,51318,https://www.transfermarkt.com/matthew-briggs/profil/spieler/51318
Wes Brown,https://fbref.com/en/players/659ccc97/Wes-Brown,Success,Not found,"October 13, 1979",Not found,185cm,England eng,DF (CB),Right,1997-1998,17 years,Manchester Utd,1997,3405,https://www.transfermarkt.com/wes-brown/profil/spieler/3405
Jeffrey Bruma,https://fbref.com/en/players/fbffc4b1/Jeffrey-Bruma,Success,Not found,"November 13, 1991",Not found,189cm,Netherlands,DF (CB-FB),Right,2009-2010,17 years,Grimsby Town,2009,88721,https://www.transfermarkt.com/jeffrey-bruma/profil/spieler/88721
Chris Brunt,https://fbref.com/en/players/ec7e6ad1/Chris-Brunt,Success,Not found,"December 14, 1984",Not found,180cm,Northern Ireland nir,"DF-MF (AM-WM, left)",Left,2003-2004,18 years,Sheffield Weds,2003,36814,https://www.transfermarkt.com/chris-brunt/profil/spieler/36814
Mark Bunn,https://fbref.com/en/players/a6738b6c/Mark-Bunn,Success,Not found,"November 16, 1984",Not found,183cm,Not found,GK,Right,2006-2007,21 years,Northampton,2006,49319,https://www.transfermarkt.com/mark-bunn/profil/spieler/49319
Gary Cahill,https://fbref.com/en/players/7914b9fe/Gary-Cahill,Success,Not found,"December 19, 1985",Not found,193cm,England eng,DF (CB),Right,2004-2005,18 years,Burnley,2004,27511,https://www.transfermarkt.com/gary-cahill/profil/spieler/27511
Tim Cahill,https://fbref.com/en/players/e5a2dfc2/Tim-Cahill,Success,Not found,"December 6, 1979",Not found,178cm,Australia,FW-MF (AM),Right,2001-2002,21 years,Millwall,2001,13556,https://www.transfermarkt.com/tim-cahill/profil/spieler/13556
Gary Caldwell,https://fbref.com/en/players/5dc37f4a/Gary-Caldwell,Success,Not found,"April 12, 1982",Not found,180cm,Scotland sct,DF-MF,Right,2001-2002,19 years,Hibernian,2001,3791,https://www.transfermarkt.com/gary-caldwell/profil/spieler/3791
