player_name,transfermarkt_url
Andy Carroll,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066
Scott Carson,https://www.transfermarkt.com/scott-carson/profil/spieler/14555
Craig Cathcart,https://www.transfermarkt.com/craig-cathcart/profil/spieler/59606
Lee Cattermole,https://www.transfermarkt.com/lee-cattermole/profil/spieler/37363
Marek Čech,https://www.transfermarkt.com/marek-ech/profil/spieler/21354
Petr Čech,https://www.transfermarkt.com/petr-ech/profil/spieler/5658
Marouane Chamakh,https://www.transfermarkt.com/marouane-chamakh/profil/spieler/19085
Pascal Chimbonda,https://www.transfermarkt.com/pascal-chimbonda/profil/spieler/18875
Lee Chung-yong,https://www.transfermarkt.com/chung-yong-lee/profil/spieler/81801
Ciaran Clark,https://www.transfermarkt.com/ciaran-clark/profil/spieler/98240
Tom Cleverley,https://www.transfermarkt.com/tom-cleverley/profil/spieler/73484
Gaël Clichy,https://www.transfermarkt.com/gal-clichy/profil/spieler/7449
Tamir Cohen,https://www.transfermarkt.com/tamir-cohen/profil/spieler/24209
Jack Colback,https://www.transfermarkt.com/jack-colback/profil/spieler/61644
Ashley Cole,https://www.transfermarkt.com/ashley-cole/profil/spieler/3182
Carlton Cole,https://www.transfermarkt.com/carlton-cole/profil/spieler/3179
Joe Cole,https://www.transfermarkt.com/joe-cole/profil/spieler/3876
Séamus Coleman,https://www.transfermarkt.com/samus-coleman/profil/spieler/68390
Danny Collins,https://www.transfermarkt.com/danny-collins/profil/spieler/26183
James Collins,https://www.transfermarkt.com/james-collins/profil/spieler/12691
Jack Collison,https://www.transfermarkt.com/jack-collison/profil/spieler/61568
Fabricio Coloccini,https://www.transfermarkt.com/fabricio-coloccini/profil/spieler/6150
Jordan Cook,https://www.transfermarkt.com/jordan-cook/profil/spieler/61646
Vedran Ćorluka,https://www.transfermarkt.com/vedran-orluka/profil/spieler/34393
Manuel da Costa,https://www.transfermarkt.com/manuel-da-costa/profil/spieler/37398
Simon Cox,https://www.transfermarkt.com/simon-cox/profil/spieler/37150
Jody Craddock,https://www.transfermarkt.com/jody-craddock/profil/spieler/4129
Stephen Crainey,https://www.transfermarkt.com/stephen-crainey/profil/spieler/9499
Peter Crouch,https://www.transfermarkt.com/peter-crouch/profil/spieler/4072
Carlo Cudicini,https://www.transfermarkt.com/carlo-cudicini/profil/spieler/3151
Carlos Cuéllar,https://www.transfermarkt.com/carlos-cullar/profil/spieler/16576
Scott Dann,https://www.transfermarkt.com/scott-dann/profil/spieler/62688
Curtis Davies,https://www.transfermarkt.com/curtis-davies/profil/spieler/18227
Kevin Davies,https://www.transfermarkt.com/kevin-davies/profil/spieler/4114
Mark Davies,https://www.transfermarkt.com/mark-davies/profil/spieler/36917
Simon Davies,https://www.transfermarkt.com/simon-davies/profil/spieler/4056
Michael Dawson,https://www.transfermarkt.com/michael-dawson/profil/spieler/9988
