player_name,nation,player_url_fbref,current age_fbref,dob_age_fbref,place_birth_fbref,height_fbref,citizenship_fbref,position_fbref,foot_fbref,current_club_fbref,debut_season_fbref,debut_age_fbref,first_club_fbref,debut_year_fbref,player_url_tra,slug,player_id_fbref,home_name_fbref,dob_age_tra,YEAR_tra,place_birth_tra,height_tra,citizenship_tra,position_tra,foot_tra,current_club_tra,joined_tra,contract_expires_tra,outfitter_tra,first_tier_debut_date,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket,injury_count_total_tra,days_missed_total_tra,games_missed_total_tra,injury_seasons_tra,Deceased_tra,death_date,death_age,retired_tra,retirement_date_tra,year_retirement,career_lenght,career_lenght_w_actives_and_dead,shirt_number_tra,National_team,total_seasons_national,matches_national,minutes_national,goals_national,CAREER Sum of matches_played,CAREER Sum of minutes,CAREER Sum of goals
Carlos Marchena,es ESP,https://fbref.com/en/players/48ddb821/Carlos-Marchena,46,7/31/1979,NA,183cm,Spain,DF-MF (CB-DM),NA,NA,1999-2000,20,Sevilla,1999,https://www.transfermarkt.com/carlos-marchena/profil/spieler/7572,carlos-marchena,7572,Carlos Marchena,31/07/1979,1979,Las Cabezas,1.82,Spain,Defender - Centre-Back,right,CD Gerena,19/01/2016,NA,NA,22/08/1999,20,LaLiga,9/11/1997,18,Segunda División,18,5,144,30,4,No,NA,NA,Yes,19/01/2016,2016,17,17,NA,Yes,9,34,2546,1,436,33559,18
Carlos Martínez,es ESP,https://fbref.com/en/players/d9b0cc38/Carlos-Martinez,39,4/9/1986,NA,188cm,NA,"DF (FB, right)",Right,NA,2007-2008,21,Real Sociedad,2007,https://www.transfermarkt.com/carlos-martinez/profil/spieler/58074,carlos-martinez,58074,Carlos Martínez,9/4/1986,1986,Lodosa,1.89,Spain,Defender - Right-Back,right,Burgos CF,15/01/2020,NA,NA,29/08/2010,24,LaLiga,26/08/2007,21,Segunda División,21,9,1017,122,5,No,NA,NA,Yes,15/01/2020,2020,13,13,NA,No,0,Not_national_team,Not_national_team,Not_national_team,219,17986,3
Carlos Martins,pt POR,https://fbref.com/en/players/23cfa96c/Carlos-Martins,43,4/29/1982,NA,173cm,Portugal,MF (AM),Both,NA,2000-2001,18,Sporting CP,2000,https://www.transfermarkt.com/carlos-martins/profil/spieler/14511,carlos-martins,14511,Carlos Martins,29/04/1982,1982,Oliveira do Hospital,1.72,Portugal,Midfield - Attacking Midfield,both,Belenenses,4/9/2016,NA,NA,16/09/2000,18,Liga Portugal,7/2/2014,31,Ledman Liga Pro,18,2,64,14,2,No,NA,NA,Yes,4/9/2016,2016,16,16,NA,Yes,4,9,481,0,310,17595,28
Carlos Peña,es ESP,https://fbref.com/en/players/26a03602/Carlos-Pena,42,7/28/1983,NA,181cm,Spain,"DF (FB, left)",NA,NA,2006-2007,23,Albacete,2006,https://www.transfermarkt.com/carlos-pena/profil/spieler/8746,carlos-pena,8746,Carlos Peña,28/07/1983 (42),1983,Salamanca,1.81,Spain,Defender - Left-Back,left,FC Goa,1/7/2020,NA,NA,27/08/2012,29,LaLiga,15/10/2006,23,Segunda División,23,NA,NA,NA,1/0/1900,No,NA,NA,Yes,1/7/2020,2020,14,14,NA,No,0,Not_national_team,Not_national_team,Not_national_team,415,35113,7
Carlos Sánchez,co COL,https://fbref.com/en/players/50b51fac/Carlos-Sanchez,39,2/6/1986,NA,182cm,Colombia,DF-MF (CM-DM),Right,NA,2007-2008,21,Valenciennes,2007,https://www.transfermarkt.com/carlos-sanchez/profil/spieler/51226,carlos-sanchez,51226,Carlos Sánchez,06/02/1986 (39),1986,Quibdó,1.82,Colombia,Midfield - Defensive Midfield,left,Barracas C.,1/1/2025,NA,Nike,9/6/2006,20,Primera División Apertura,6/3/2021,35,1/0/1900,20,5,329,57,3,No,NA,NA,Yes,1/1/2025,2025,18,18,NA,Yes,9,44,3537,0,467,34321,16
Carlos Selfa,es ESP,https://fbref.com/en/players/162b5811/Carlos-Selfa,33,4/25/1992,NA,182cm,NA,MF (CM),Right,NA,2014-2015,22,Almería,2014,https://www.transfermarkt.com/carlos-selfa/profil/spieler/252688,carlos-selfa,252688,Carlos Selfa,25/04/1992,1992,Sueca,1.84,Spain,Midfield - Central Midfield,right,Without Club,1/1/2023,NA,NA,24/11/2014,22,LaLiga,No second tier career,NA,No second tier career,22,NA,NA,NA,1/0/1900,No,NA,NA,No,NA,NA,NA,11,NA,No,0,Not_national_team,Not_national_team,Not_national_team,3,198,0
Carlos Tomás,es ESP,https://fbref.com/en/players/c4559662/Carlos-Tomas,37,5/18/1988,NA,183cm,NA,DF (CB),NA,NA,2009-2010,21,Villarreal B,2009,https://www.transfermarkt.com/carlos-tomas/profil/spieler/125797,carlos-tomas,125797,Carlos Tomás,18/05/1988,1988,Ibiza,1.85,Spain,Defender - Centre-Back,right,UD Ibiza,14/12/2017,NA,NA,"21/05/2011	",23,LaLiga,"29/08/2009	",21,Segunda División,21,2,274,32,1,No,NA,NA,Yes,14/12/2017,2017,8,8,NA,No,0,Not_national_team,Not_national_team,Not_national_team,51,3609,1
Carlos Vela,mx MEX,https://fbref.com/en/players/e0cd04e0/Carlos-Vela,36,3/1/1989,NA,177cm,Mexico,FW-MF,Left,NA,2006-2007,17,Salamanca,2006,https://www.transfermarkt.com/carlos-vela/profil/spieler/35773,carlos-vela,35773,Carlos Vela,1/3/1989,1989,Cancún,1.77,Mexico  Spain,Attack - Right Winger,left,LAFC,27/05/2025,NA,NA,26/09/2007,18,LaLiga,27/08/2006,17,Segunda División,17,9,284,51,7,No,NA,NA,Yes,27/05/2025,2025,19,19,NA,Yes,10,50,3375,12,524,35742,177
Carlos Vigaray,es ESP,https://fbref.com/en/players/f69d934e/Carlos-Vigaray,30,9/7/1994,NA,182cm,NA,"DF (FB, right)",Right,NA,2013-2014,18,Getafe,2013,https://www.transfermarkt.com/carlos-vigaray/profil/spieler/263627,carlos-vigaray,263627,Carlos Vigaray,7/9/1994,1994,Leganés,1.85,Spain,Defender - Centre-Back,right,CD Teruel,16/07/2025,30/06/2026,NA,16/02/2014,19,LaLiga,17/08/2019,24,Segunda División,19,9,987,110,7,No,NA,NA,No,NA,NA,NA,12,NA,No,0,Not_national_team,Not_national_team,Not_national_team,134,9992,4
Carmelo González,es ESP,https://fbref.com/en/players/27f4e837/Carmelo-Gonzalez,42,7/9/1983,NA,180cm,Spain,MF (AM),NA,NA,2001-2002,18,Las Palmas,2001,https://www.transfermarkt.com/carmelo/profil/spieler/44038,carmelo,44038,Carmelo,09/07/1983 (42),1983,Las Palmas de Gran Canaria,1.8,Spain,Midfield - Attacking Midfield,right,Arucas CF,1/7/2023,NA,adidas,26/08/2001,18,LaLiga,31/08/2002,19,Segunda División,18,3,139,21,2,No,NA,NA,Yes,1/7/2023,2023,22,22,NA,No,0,Not_national_team,Not_national_team,Not_national_team,272,16577,27
Casemiro,br BRA,https://fbref.com/en/players/4d224fe8/Casemiro,33,"February 23, 1992 (Age: 33-245d)","São José dos Campos, Brazil",184cm,Brazil,MF (CM-DM),Right,Manchester United,2012-2013,20,Real Madrid B,2012,https://www.transfermarkt.com/casemiro/profil/spieler/16306,casemiro,16306,Casemiro,23/02/1992,1992,São José dos Campos,1.85,Brazil  Spain,Midfield - Defensive Midfield,right,Man Utd,22/08/2022,30/06/2026,adidas,7/2/1905,18,Campeonato Brasileiro Série A,7/5/1905,20,1/0/1900,18,11,268,64,8,No,NA,NA,No,NA,NA,NA,13,18,Yes,13,61,4949,5,507,38966,55
Casto,es ESP,https://fbref.com/en/players/95b4ffb3/Casto,43,6/18/1982,NA,181cm,NA,GK,NA,NA,2005-2006,23,Albacete,2005,https://www.transfermarkt.com/casto/profil/spieler/47722,casto,47722,Casto,18/06/1982,1982,Pueblonuevo del Guadiana,1.8,Spain,Goalkeeper,NA,Extremadura,24/01/2022,NA,NA,"16/12/2007	",25,LaLiga,"18/06/2006	",24,Segunda División,24,2,34,5,2,No,NA,NA,Yes,24/01/2022,2022,17,17,NA,No,0,Not_national_team,Not_national_team,Not_national_team,316,28235,0
Cata Díaz,ar ARG,https://fbref.com/en/players/c9112443/Cata-Diaz,46,7/13/1979,NA,184cm,Argentina,DF (CB),Right,NA,2003-2004,24,Cruz Azul,2003,https://www.transfermarkt.com/cata-diaz/profil/spieler/39087,cata-diaz,39087,Cata Díaz,13/07/1979,1979,San Fernando del Valle,1.83,Argentina  Italy,Defender - Centre-Back,right,CD Móstoles,1/7/2021,NA,NA,20/06/2000,20,Torneo Final,19/08/2016,37,Segunda División,20,3,94,12,3,No,NA,NA,Yes,1/7/2021,2021,18,18,NA,No,0,Not_national_team,Not_national_team,Not_national_team,333,29325,5
Cedrick Mabwati,cd COD,https://fbref.com/en/players/6518bc18/Cedrick-Mabwati,33,3/8/1992,NA,167cm,Congo DR,FW-MF (WM),NA,NA,2010-2011,18,Numancia,2010,https://www.transfermarkt.com/cedrick/profil/spieler/137162,cedrick,137162,Cedrick,8/3/1992,1992,Kinshasa,1.68,DR Congo  Spain,Attack - Left Winger,right,CA Pinto,1/7/2024,NA,NA,18/08/2013,21,LaLiga,29/08/2010,18,Segunda División,18,2,118,12,2,No,NA,NA,Yes,1/7/2024,2024,14,14,NA,Yes,5,12,774,0,200,11207,16
Celso Borges,cr CRC,https://fbref.com/en/players/b8836910/Celso-Borges,37,"May 27, 1988 (Age: 37-152d)","San José, Costa Rica",186cm,Costa Rica,FW-MF (AM-CM-DM),Right,Alajuelense,2009,20,Fredrikstad,2009,https://www.transfermarkt.com/celso-borges/profil/spieler/81532,celso-borges,81532,Celso Borges,27/05/1988,1988,San José,1.83,Costa Rica  Brazil,Midfield - Central Midfield,right,LD Alajuelense,21/09/2021,NA,NA,20/01/2008,19,Primera División Verano,5/4/2010,21,OBOS-ligaen,19,18,280,60,7,No,NA,NA,No,NA,NA,NA,16,5,Yes,22,116,9291,16,303,23856,54
Cesc Fàbregas,es ESP,https://fbref.com/en/players/33508c78/Cesc-Fabregas,38,5/4/1987,NA,175cm,Spain,FW-MF (AM-CM-DM),Right,NA,2004-2005,17,Arsenal,2004,https://www.transfermarkt.com/cesc-fabregas/profil/spieler/8806,cesc-fabregas,8806,Cesc Fàbregas,4/5/1987,1987,Arenys de Mar,1.79,Spain,Midfield - Central Midfield,right,Como,1/7/2023,NA,Puma,15/08/2004,17,Premier League,29/08/2022,35,Serie B,17,28,867,179,13,No,NA,NA,Yes,1/7/2023,2023,19,19,NA,Yes,16,74,4296,8,671,48500,105
Cezary Wilk,pl POL,https://fbref.com/en/players/bf526c15/Cezary-Wilk,39,2/12/1986,NA,180cm,Poland,MF (DM),Right,NA,2005-2006,19,Korona Kielce,2005,https://www.transfermarkt.com/cezary-wilk/profil/spieler/35448,cezary-wilk,35448,Cezary Wilk,12/2/1986,1986,Warszawa,1.8,Poland,Midfield - Defensive Midfield,right,Real Zaragoza,20/03/2018,NA,NA,19/11/2005,19,Lotto Ekstraklasa,9/8/2008,22,Nice 1 Liga,19,5,854,120,5,No,NA,NA,Yes,20/03/2018,2018,13,13,NA,No,0,Not_national_team,Not_national_team,Not_national_team,186,13247,9
Charles,br BRA,https://fbref.com/en/players/c4b8bcf4/Charles,41,4/4/1984,NA,179cm,NA,FW,Right,NA,2004-2005,20,Pontevedra,2004,https://www.transfermarkt.com/charles/profil/spieler/154059,charles,154059,Charles,04/04/1984 (41),1984,Belem,1.79,Brazil  Portugal,Attack - Centre-Forward,right,Pontevedra CF,1/7/2023,NA,NA,7/5/1905,29,LaLiga,6/26/1905,19,1/0/1900,19,9,235,27,5,No,NA,NA,Yes,1/7/2023,2023,19,19,NA,No,0,Not_national_team,Not_national_team,Not_national_team,358,22920,116
Charlie I'Anson,eng ENG,https://fbref.com/en/players/907594ed/Charlie-IAnson,32,7/1/1993,NA,181cm,NA,DF (CB),NA,NA,2010-2011,17,Grimsby Town,2010,https://www.transfermarkt.com/charlie-ianson/profil/spieler/191866,charlie-ianson,191866,Charlie I'Anson,01/07/1993 (32),1993,Luton,1.82,England  Spain,Defender - Centre-Back,right,Without Club,1/7/2024,NA,NA,5/10/2013,20,LaLiga,24/08/2014,21,Segunda División,20,NA,NA,NA,1/0/1900,No,NA,NA,No,NA,NA,NA,15,NA,No,0,Not_national_team,Not_national_team,Not_national_team,36,2802,2
Charlie Took,cm CMR,https://fbref.com/en/players/9a7434c7/Charlie-Took,32,5/25/1993,NA,184cm,NA,DF (CB),NA,NA,2012-2013,19,Mallorca,2012,https://www.transfermarkt.com/charlie-took/profil/spieler/210142,charlie-took,210142,Charlie Took,25/05/1993,1993,Douala,1.84,Cameroon,Defender - Centre-Back,NA,Without Club,1/7/2024,NA,NA,"25/08/2012	",19,LaLiga,No second tier career,NA,NA,19,NA,NA,NA,1/0/1900,No,NA,NA,No,NA,NA,NA,13,NA,No,0,Not_national_team,Not_national_team,Not_national_team,1,15,0
Chechu,es ESP,https://fbref.com/en/players/e98f3a6a/Chechu,43,7/10/1982,NA,180cm,NA,DF (CB),Left,NA,2004-2005,22,Lleida,2004,https://www.transfermarkt.com/chechu-dorado/profil/spieler/70898,chechu-dorado,70898,Chechu Dorado,10/7/1982,1982,Córdoba,1.81,Spain,Defender - Centre-Back,left,Santa Anastasia,1/6/2023,NA,NA,27/08/2011,29,LaLiga,29/08/2004,22,Segunda División,22,5,194,28,5,No,NA,NA,Yes,1/6/2023,2023,19,19,NA,No,0,Not_national_team,Not_national_team,Not_national_team,336,27989,4
Chico Flores,es ESP,https://fbref.com/en/players/95825cf2/Chico-Flores,38,3/6/1987,NA,187cm,Spain,DF (CB),Right,NA,2006-2007,19,Cádiz,2006,https://www.transfermarkt.com/chico-flores/profil/spieler/51681,chico-flores,51681,Chico Flores,6/3/1987,1987,Cádiz,1.87,Spain,Defender - Centre-Back,right,CF Fuenlabrada,24/08/2020,NA,NA,31/08/2008,21,LaLiga,14/10/2017,30,Segunda División,21,7,226,37,5,No,NA,NA,Yes,24/08/2020,2020,14,14,NA,No,0,Not_national_team,Not_national_team,Not_national_team,218,17515,4
Chori Domínguez,ar ARG,https://fbref.com/en/players/bbb66f34/Chori-Dominguez,44,6/10/1981,NA,176cm,Argentina,FW-MF (AM),Right,NA,2004,22,Rubin Kazan,2004,https://www.transfermarkt.com/alejandro-dominguez/profil/spieler/18958,alejandro-dominguez,18958,Alejandro Domínguez,10/6/1981,1981,Lanús,1.75,Argentina  Italy,Midfield - Attacking Midfield,both,Rayo Vallecano,1/7/2018,NA,NA,12/5/2002,20,Torneo Final,17/08/2011,30,Primera Nacional,20,7,544,91,6,No,NA,NA,Yes,1/7/2018,2018,14,21,NA,No,0,Not_national_team,Not_national_team,Not_national_team,330,19886,85
Chory Castro,uy URU,https://fbref.com/en/players/8cc3d96e/Chory-Castro,40,9/14/1984,NA,176cm,Uruguay,"FW-MF (AM-WM, left)",Left,NA,2007-2008,22,Mallorca,2007,https://www.transfermarkt.com/chory-castro/profil/spieler/28171,chory-castro,28171,Chory Castro,14/09/1984,1984,Trinidad,1.78,Uruguay  Spain,Attack - Left Winger,left,Porongos,1/1/2025,NA,NA,28/06/2006,21,0,No second tier career,NA,No second tier career,21,8,132,20,5,No,NA,NA,Yes,1/1/2025,2025,18,18,NA,Yes,1,1,45,0,477,29018,53
Christian,es ESP,https://fbref.com/en/players/1d5a68fe/Christian,39,10/15/1985,NA,182cm,NA,"DF (CB-FB, left)",NA,NA,2006-2007,20,Racing Sant,2006,https://www.transfermarkt.com/bolano/profil/spieler/48294,bolano,48294,Bolaño,15/10/1985 (40),1985,Santander,1.82,Spain,Defender - Left-Back,left,Gimnástica,1/7/2023,NA,Nike,18/02/2007,21,LaLiga,6/1/2008,22,Segunda División,21,NA,NA,NA,1/0/1900,No,NA,NA,Yes,1/7/2023,2023,17,17,NA,No,0,Not_national_team,Not_national_team,Not_national_team,394,31818,30
Christian Alfonso,es ESP,https://fbref.com/en/players/ecfe11fd/Christian-Alfonso,36,5/2/1989,NA,177cm,NA,MF (AM),NA,NA,2011-2012,22,Espanyol,2011,https://www.transfermarkt.com/christian-alfonso/profil/spieler/203108,christian-alfonso,203108,Christian Alfonso,2/5/1989,1989,Barcelona,1.77,Spain,Midfield - Attacking Midfield,NA,Without Club,1/7/2022,NA,NA,"02/10/2011	",22,LaLiga,"18/08/2013	",24,Segunda División,22,1,62,2,1,No,NA,NA,No,NA,NA,NA,14,NA,No,0,Not_national_team,Not_national_team,Not_national_team,51,2003,1
Christian Bravo,cl CHI,https://fbref.com/en/players/28024156/Christian-Bravo,31,"October 1, 1993 (Age: 32-025d)","Iquique, Chile",168cm,Chile,"FW-MF (WM, right)",NA,Antofagasta,2013-2014,19,Granada,2013,https://www.transfermarkt.com/christian-bravo/profil/spieler/189735,christian-bravo,189735,Christian Bravo,1/10/1993,1993,Iquique,1.69,Chile,Attack - Right Winger,right,Antofagasta,15/01/2025,31/12/2025,Nike,27/11/2011,18,Primera División Clausura (-2017),14/02/2023,29,Liga de Ascenso,18,NA,NA,NA,1/0/1900,No,NA,NA,No,NA,NA,NA,12,7,Yes,1,2,77,0,210,12810,20
Christian Cueva,pe PER,https://fbref.com/en/players/57376761/Christian-Cueva,33,"November 23, 1991 (Age: 33-337d)","Trujillo, Peru",169cm,Peru,MF (AM-WM),Right,Emelec,2013-2014,21,Rayo Vallecano,2013,https://www.transfermarkt.com/christian-cueva/profil/spieler/95280,christian-cueva,95280,Christian Cueva,23/11/1991,1991,Trujillo,1.69,Peru,Midfield - Attacking Midfield,right,CS Emelec,14/06/2025,30/06/2026,Nike,12/4/2008,16,Torneo Descentralizado (2009 - 2013),No second tier career,NA,No second tier career,16,3,35,4,2,No,NA,NA,No,NA,NA,NA,12,10,Yes,13,68,4957,14,250,15313,38
Christian Lell,de GER,https://fbref.com/en/players/37d7f47d/Christian-Lell,40,8/29/1984,NA,180cm,Germany,"DF (FB, right)",NA,NA,2003-2004,18,Bayern Munich,2003,https://www.transfermarkt.com/christian-lell/profil/spieler/2233,christian-lell,2233,Christian Lell,29/08/1984,1984,München,NA,Germany  Austria,Defender - Right-Back,NA,TSV Weyarn,1/7/2016,NA,NA,4/10/2003,19,1.Bundesliga,8/8/2004,19,2.Bundesliga,19,8,119,26,4,No,NA,NA,Yes,1/7/2016,2016,13,13,NA,No,0,Not_national_team,Not_national_team,Not_national_team,220,16787,6
Chuli,es ESP,https://fbref.com/en/players/24efffbf/Chuli,34,"January 25, 1991 (Age: 34-274d)","Huelva, Spain",178cm,Spain,FW-MF,NA,Orihuela,2011-2012,20,Recreativo,2011,https://www.transfermarkt.com/chuli/profil/spieler/129515,chuli,129515,Chuli,25/01/1991,1991,Huelva,1.7,Spain,Attack - Centre-Forward,left,Orihuela CF,1/7/2025,NA,Umbro,25/08/2013,22,LaLiga,16/05/2012,21,Segunda División,21,3,176,27,2,No,NA,NA,Yes,1/7/2025,2025,14,14,NA,No,0,Not_national_team,Not_national_team,Not_national_team,185,11147,41
Cicinho,br BRA,https://fbref.com/en/players/9e4e6402/Cicinho,45,6/24/1980,NA,171cm,Brazil,"DF (FB, right)",Right,NA,2005-2006,25,Real Madrid,2005,https://www.transfermarkt.com/cicinho/profil/spieler/26101,cicinho,26101,Cicinho,24/06/1980,1980,Pradópolis,1.71,Brazil  Italy,Defender - Right-Back,right,Brasiliense-DF,1/3/2018,NA,NA,10/11/1999,19,Campeonato Brasileiro Série A,No second tier career,NA,No second tier career,19,7,523,35,3,No,NA,NA,Yes,1/3/2018,2018,13,13,NA,Yes,2,7,505,0,202,14536,7
Cicinho,,https://fbref.com/en/players/cb51774a/Cicinho,38,8/4/1986,NA,173cm,NA,"DF (FB, right)",NA,NA,2012-2013,25,Sevilla,2012,https://www.transfermarkt.com/cicinho/profil/spieler/99632,cicinho,99632,Cicinho,04/08/1986 (39),1986,Jundiaí,1.74,Brazil,Defender - Right-Back,right,Oeste,13/11/2019,NA,NA,10/5/2009,22,Campeonato Brasileiro Série A,8/5/2010,23,Campeonato Brasileiro Série B,22,1,274,40,1,No,NA,NA,Yes,13/11/2019,2019,7,7,NA,No,0,Not_national_team,Not_national_team,Not_national_team,57,4044,2
Ciprian Marica,ro ROU,https://fbref.com/en/players/3953ae4a/Ciprian-Marica,39,10/2/1985,NA,185cm,Romania,FW,Right,NA,2003-2004,17,Shakhtar,2003,https://www.transfermarkt.com/ciprian-marica/profil/spieler/16833,ciprian-marica,16833,Ciprian Marica,2/10/1985,1985,Bukarest,1.84,Romania,Attack - Centre-Forward,both,Steaua Bucharest,31/10/2016,NA,NA,13/04/2003,17,SuperLiga,No second tier career,NA,No second tier career,17,17,511,96,6,No,NA,NA,Yes,31/10/2016,2016,13,13,NA,Yes,8,46,3259,17,298,15504,60
Claudio Bravo,cl CHI,https://fbref.com/en/players/10072610/Claudio-Bravo,42,4/13/1983,NA,184cm,Chile,GK,Right,NA,2006-2007,23,Real Sociedad,2006,https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423,claudio-bravo,40423,Claudio Bravo,13/04/1983,1983,Buin,1.84,Chile  Spain,Goalkeeper,right,Real Betis,26/08/2024,NA,adidas,27/04/2003,20,Torneo Apertura (-2016),30/08/2008,25,Segunda División,20,15,678,148,10,No,NA,NA,Yes,26/08/2024,2024,18,18,NA,Yes,14,62,5512,0,442,39640,0
Claudio Morel Rodríguez,py PAR,https://fbref.com/en/players/2a5c8856/Claudio-Morel-Rodriguez,47,2/2/1978,NA,175cm,Paraguay,"DF (CB-FB, left)",NA,NA,2010-2011,32,La Coruña,2010,https://www.transfermarkt.com/claudio-morel-rodriguez/profil/spieler/7924,claudio-morel-rodriguez,7924,Claudio Morel Rodríguez,2/2/1978,1978,Asunción,1.75,Paraguay,Defender - Left-Back,left,Sarmiento (L),1/1/2019,NA,NA,28/03/1999,21,Torneo Final,17/09/2011,33,Segunda División,21,8,126,27,6,No,NA,NA,Yes,1/1/2019,2019,9,9,NA,Yes,1,5,480,0,33,2726,0
Coke,es ESP,https://fbref.com/en/players/6d8f8441/Coke,38,4/26/1987,NA,182cm,Spain,"DF-MF (FB, right)",Right,NA,2008-2009,21,Rayo Vallecano,2008,https://www.transfermarkt.com/coke/profil/spieler/71905,coke,71905,Coke,26/04/1987,1987,Madrid,1.76,Spain,Defender - Right-Back,right,At. Sanluqueño,1/7/2024,NA,Lotto,28/08/2011,24,LaLiga,6/9/2008,21,Segunda División,21,8,371,56,6,No,NA,NA,Yes,1/7/2024,2024,16,16,NA,No,0,Not_national_team,Not_national_team,Not_national_team,398,30773,44
Corona,es ESP,https://fbref.com/en/players/4798bc33/Corona,44,2/12/1981,NA,176cm,Spain,MF (AM-CM),Right,NA,2000-2001,19,Zaragoza,2000,https://www.transfermarkt.com/miguel-angel-corona/profil/spieler/7945,miguel-angel-corona,7945,Miguel Ángel Corona,12/02/1981 (44),1981,Talavera de la Reina,1.74,Spain,Midfield - Central Midfield,right,UD Almería,1/7/2017,NA,NA,24/01/2001,19,LaLiga,1/9/2002,21,Segunda División,19,5,147,15,3,No,NA,NA,Yes,1/7/2017,2017,17,17,NA,No,0,Not_national_team,Not_national_team,Not_national_team,443,26234,26
Cristóbal,es ESP,https://fbref.com/en/players/81da94e5/Cristobal,41,4/21/1984,NA,180cm,NA,DF-MF (CM),Right,NA,2009-2010,25,Villarreal B,2009,https://www.transfermarkt.com/cristobal-marquez/profil/spieler/72281,cristobal-marquez,72281,Cristóbal Márquez,21/04/1984 (41),1984,Madrid,1.8,Spain,Midfield - Central Midfield,right,Without Club,1/7/2024,NA,NA,15/01/2011,26,LaLiga,29/08/2009,25,Segunda División,25,NA,NA,NA,1/0/1900,No,NA,NA,No,NA,NA,NA,16,NA,No,0,Not_national_team,Not_national_team,Not_national_team,185,13596,15
Cristhian Stuani,uy URU,https://fbref.com/en/players/220c11f1/Cristhian-Stuani,38,"October 12, 1986 (Age: 39-014d)",Uruguay,186cm,Uruguay,FW-MF,Right,Girona,2007-2008,20,Reggina,2007,https://www.transfermarkt.com/cristhian-stuani/profil/spieler/59323,cristhian-stuani,59323,Cristhian Stuani,12/10/1986,1986,Tala,1.84,Uruguay  Italy,Attack - Centre-Forward,right,Girona,21/07/2017,30/06/2026,NA,26/05/2007,20,0,29/08/2009,22,Segunda División,20,21,267,44,8,No,NA,NA,No,NA,NA,NA,18,7,Yes,10,34,1496,2,583,35181,223
Cristián Zapata,co COL,https://fbref.com/en/players/b1deecf8/Cristian-Zapata,38,"September 30, 1986 (Age: 39-026d)","Padilla, Colombia",186cm,Colombia,DF (CB),Right,Atletico Bucaramanga,2005-2006,18,Udinese,2005,https://www.transfermarkt.com/cristian-zapata/profil/spieler/34344,cristian-zapata,34344,Cristian Zapata,30/09/1986,1986,Padilla,1.87,Colombia,Defender - Centre-Back,right,Without Club,1/7/2025,NA,NA,19/11/2005,19,Serie A,No second tier career,NA,No second tier career,19,17,594,97,11,No,NA,NA,No,NA,NA,NA,20,NA,Yes,10,28,2346,1,495,42263,15
Cristian Álvarez,ar ARG,https://fbref.com/en/players/87e89eb4/Cristian-Alvarez,39,11/13/1985,NA,185cm,NA,GK,Right,NA,2008-2009,22,Espanyol,2008,https://www.transfermarkt.com/cristian-alvarez/profil/spieler/55135,cristian-alvarez,55135,Cristian Álvarez,13/11/1985,1985,Rosario,1.86,Argentina  Spain,Goalkeeper,right,Real Zaragoza,3/2/2025,NA,NA,29/03/2006,20,Torneo Final,15/09/2017,31,Segunda División,20,3,98,18,3,No,NA,NA,Yes,3/2/2025,2025,17,17,NA,No,0,Not_national_team,Not_national_team,Not_national_team,306,27212,0
Cristian Ansaldi,ar ARG,https://fbref.com/en/players/bbafc0c4/Cristian-Ansaldi,38,9/20/1986,NA,181cm,Argentina,"DF-MF (FB-WM, left)",Both,NA,2008,21,Rubin Kazan,2008,https://www.transfermarkt.com/cristian-ansaldi/profil/spieler/55854,cristian-ansaldi,55854,Cristian Ansaldi,20/09/1986,1986,Rosario,1.81,Argentina  Italy,Defender - Left-Back,both,Parma,1/7/2024,NA,NA,6/28/1905,19,Torneo Final,7/14/1905,35,1/0/1900,19,24,677,102,10,No,NA,NA,Yes,1/7/2024,2024,16,17,NA,Yes,5,2,148,1,402,29190,14
Cristian Bustos,es ESP,https://fbref.com/en/players/ccb6ae73/Cristian-Bustos,42,5/29/1983,NA,175cm,NA,MF (DM),Right,NA,2007-2008,24,Salamanca,2007,https://www.transfermarkt.com/cristian-bustos/profil/spieler/57922,cristian-bustos,57922,Cristian Bustos,29/05/1983,1983,Alicante,1.76,Spain,Midfield - Central Midfield,right,UCAM Murcia,1/7/2018,NA,NA,18/08/2012,29,LaLiga,26/08/2007,24,Segunda División,24,NA,NA,NA,1/0/1900,No,NA,NA,Yes,1/7/2018,2018,11,11,NA,No,0,Not_national_team,Not_national_team,Not_national_team,245,18560,1
Cristian Gómez,es ESP,https://fbref.com/en/players/d9b41da8/Cristian-Gomez,36,7/27/1989,NA,186cm,NA,MF,Left,NA,2011-2012,22,Espanyol,2011,https://www.transfermarkt.com/cristian-gomez/profil/spieler/198047,cristian-gomez,198047,Cristian Gómez,27/07/1989,1989,L'Hospitalet de Llobregat,1.86,Spain,Midfield - Central Midfield,left,CE L'Hospitalet,1/7/2023,NA,NA,"20/11/2011	",22,LaLiga,"24/08/2013	",24,Segunda División,22,NA,NA,NA,1/0/1900,No,NA,NA,Yes,1/7/2023,2023,12,12,NA,No,0,Not_national_team,Not_national_team,Not_national_team,59,2719,1
