player_name,fbref_url,transfer_url,nationality,career_length,retired,retirement_age,age_current,debut_age,debut_year,injury_count_total,days_missed_total,games_missed_total,total_matches_club,total_matches_total,seasons_club,foot,position_simple,height,debut_age_num,height_clean,debut_year_num,injuries_per_season,foot_clean,event,debut_band,height_group,inj_band,debut_decade,nationality_clean,region
Edu Caballer,https://fbref.com/en/players/2e7586bb/Edu-Caballer,https://www.transfermarkt.com/edu-caballer/profil/spieler/73231,Spain,1,Yes,29,43,28,2009,NA,NA,NA,33,33,0,right,Defender,1.81,28,1.81,2009,0,right,1,"[24,30]","(1.78,1.83]",NA,2000s,Spain,EU_Major
Edu Oriol,https://fbref.com/en/players/94c9f17a/Edu-Oriol,https://www.transfermarkt.com/edu-oriol/profil/spieler/95488,Spain,14,Yes,37,38,23,2010,1,143,21,115,115,0,both,Defender,1.77,23,1.77,2010,0,both,1,"[21,24)","[1.6,1.78]","[1,3]",2010s,Spain,EU_Major
Edu Ramos,https://fbref.com/en/players/e6793b40/Edu-Ramos,https://www.transfermarkt.com/edu-ramos/profil/spieler/85365,Spain,17,No,NA,33,17,2009,2,123,20,206,206,0,right,Midfield,1.77,17,1.77,2009,0,right,0,"[15,18)","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Eduardo Salvio,https://fbref.com/en/players/5f424f35/Eduardo-Salvio,https://www.transfermarkt.com/eduardo-salvio/profil/spieler/84535,Argentina,17,No,NA,35,18,2009,26,1085,207,477,486,6,right,Attack,1.73,18,1.73,2009,4.333333333,right,0,"[18,21)","[1.6,1.78]","(8,56]",2000s,Argentina,South_America
Eduardo Vargas,https://fbref.com/en/players/bd603c00/Eduardo-Vargas,https://www.transfermarkt.com/eduardo-vargas/profil/spieler/89718,Chile,19,No,NA,35,17,2011,6,251,42,354,423,13,right,Attack,1.74,17,1.74,2011,0.461538462,right,0,"[15,18)","[1.6,1.78]","(3,8]",2010s,Chile,Rest_of_World
Elías,https://fbref.com/en/players/97ce8f24/Elias,https://www.transfermarkt.com/elias/profil/spieler/74600,Brazil,13,Yes,36,40,23,2010,2,62,19,259,273,4,right,Midfield,1.73,23,1.73,2010,0.5,right,1,"[21,24)","[1.6,1.78]","[1,3]",2010s,Brazil,South_America
Eliseu,https://fbref.com/en/players/981869fc/Eliseu,https://www.transfermarkt.com/eliseu/profil/spieler/14192,Portugal  Cape Verde,16,Yes,35,41,19,2002,7,182,31,371,398,9,left,Defender,1.76,19,1.76,2002,0.777777778,left,1,"[18,21)","[1.6,1.78]","(3,8]",2000s,Portugal Cape Verde,EU_Major
Emanuel Insúa,https://fbref.com/en/players/792c7b94/Emanuel-Insua,https://www.transfermarkt.com/emanuel-insua/profil/spieler/226006,Argentina  Spain,13,No,NA,34,21,2014,10,202,26,259,259,0,left,Defender,1.76,21,1.76,2014,0,left,0,"[21,24)","[1.6,1.78]","(8,56]",2010s,Argentina Spain,EU_Major
Emi Buendía,https://fbref.com/en/players/66b76d44/Emi-Buendia,https://www.transfermarkt.com/emiliano-buendia/profil/spieler/321247,Argentina  Spain,11,No,NA,28,18,2014,5,508,86,314,315,2,right,Attack,1.72,18,1.72,2014,2.5,right,0,"[18,21)","[1.6,1.78]","(3,8]",2010s,Argentina Spain,EU_Major
Emiliano Armenteros,https://fbref.com/en/players/66475fb9/Emiliano-Armenteros,https://www.transfermarkt.com/emiliano-armenteros/profil/spieler/30747,Argentina  Italy,17,Yes,35,39,18,2007,2,49,8,306,306,0,left,Attack,1.78,18,1.78,2007,0,left,1,"[18,21)","[1.6,1.78]","[1,3]",2000s,Argentina Italy,EU_Major
Emiliano Insúa,https://fbref.com/en/players/f3cccffe/Emiliano-Insua,https://www.transfermarkt.com/emiliano-insua/profil/spieler/45599,Argentina  Spain,17,Yes,35,36,18,2006,7,171,30,400,401,2,left,Defender,1.79,18,1.79,2006,3.5,left,1,"[18,21)","(1.78,1.83]","(3,8]",2000s,Argentina Spain,EU_Major
Emiliano Velázquez,https://fbref.com/en/players/5efb80d5/Emiliano-Velazquez,https://www.transfermarkt.com/emiliano-velazquez/profil/spieler/189458,Uruguay,13,No,NA,31,18,2014,9,804,82,201,202,4,right,Defender,1.84,18,1.84,2014,2.25,right,0,"[18,21)","(1.83,2]","(8,56]",2010s,Uruguay,South_America
Emir Spahić,https://fbref.com/en/players/009633c8/Emir-Spahic,https://www.transfermarkt.com/emir-spahic/profil/spieler/25812,Bosnia-Herzegovina  Croatia,14,Yes,37,44,23,2004,13,142,18,324,387,12,right,Defender,1.86,23,1.86,2004,1.083333333,right,1,"[21,24)","(1.83,2]","(8,56]",2000s,Bosnia-Herzegovina Croatia,Rest_of_World
Emmanuel Adebayor,https://fbref.com/en/players/936d9e3e/Emmanuel-Adebayor,https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883,Togo  Nigeria,22,Yes,39,41,17,2001,19,214,43,488,518,9,right,Attack,1.92,17,1.92,2001,2.111111111,right,1,"[15,18)","(1.83,2]","(8,56]",2000s,Togo Nigeria,Rest_of_World
Emre Belözoğlu,https://fbref.com/en/players/48add958/Emre-Belozoglu,https://www.transfermarkt.com/emre-belozoglu/profil/spieler/5782,Türkiye,24,Yes,40,44,16,2001,56,1003,181,506,559,12,left,Midfield,1.7,16,1.7,2001,4.666666667,left,1,"[15,18)","[1.6,1.78]","(8,56]",2000s,Türkiye,Rest_of_World
Eneko Bóveda,https://fbref.com/en/players/1771f2c1/Eneko-Boveda,https://www.transfermarkt.com/eneko-boveda/profil/spieler/89313,Spain,14,Yes,34,36,20,2008,3,189,27,187,187,0,right,Defender,1.82,20,1.82,2008,0,right,1,"[18,21)","(1.78,1.83]","[1,3]",2000s,Spain,EU_Major
Eneko Capilla,https://fbref.com/en/players/54bed007/Eneko-Capilla,https://www.transfermarkt.com/eneko-capilla/profil/spieler/289241,Spain,11,No,NA,30,19,2014,2,187,17,83,83,0,left,Attack,1.67,19,1.67,2014,0,left,0,"[18,21)","[1.6,1.78]","[1,3]",2010s,Spain,EU_Major
Eneko Satrústegui,https://fbref.com/en/players/b7ce700f/Eneko-Satrustegui,https://www.transfermarkt.com/eneko-satrustegui/profil/spieler/158792,Spain,14,No,NA,34,21,2011,4,229,25,83,83,0,left,Defender,1.87,21,1.87,2011,0,left,0,"[21,24)","(1.83,2]","(3,8]",2010s,Spain,EU_Major
Enric Saborit,https://fbref.com/en/players/eb5bc3eb/Enric-Saborit,https://www.transfermarkt.com/enric-saborit/profil/spieler/85372,Spain,12,No,NA,33,21,2013,14,343,50,129,129,0,left,Defender,1.87,21,1.87,2013,0,left,0,"[21,24)","(1.83,2]","(8,56]",2010s,Spain,EU_Major
Enrique Corrales,https://fbref.com/en/players/a8dbcf66/Enrique-Corrales,https://www.transfermarkt.com/enrique-corrales/profil/spieler/25460,Spain,12,Yes,34,43,22,2004,1,45,8,163,163,0,left,Defender,1.77,22,1.77,2004,0,left,1,"[21,24)","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Enrique de Lucas,https://fbref.com/en/players/ae61cc61/Enrique-de-Lucas,https://www.transfermarkt.com/quique-de-lucas/profil/spieler/3172,Spain,18,Yes,37,46,19,1997,1,19,2,468,468,0,right,Attack,1.75,19,1.75,1997,0,right,1,"[18,21)","[1.6,1.78]","[1,3]",1990s,Spain,EU_Major
Enrique Sola,https://fbref.com/en/players/bef2e50e/Enrique-Sola,https://www.transfermarkt.com/kike-sola/profil/spieler/51532,Spain,11,Yes,32,39,21,2006,7,622,78,151,151,0,right,Attack,1.84,21,1.84,2006,0,right,1,"[21,24)","(1.83,2]","(3,8]",2000s,Spain,EU_Major
Enzo Maresca,https://fbref.com/en/players/1a899d99/Enzo-Maresca,https://www.transfermarkt.com/enzo-maresca/profil/spieler/16651,Italy,17,Yes,37,45,20,1999,5,124,28,387,387,0,right,Midfield,1.8,20,1.8,1999,0,right,1,"[18,21)","(1.78,1.83]","(3,8]",1990s,Italy,EU_Major
Enzo Pérez,https://fbref.com/en/players/6d27cfc2/Enzo-Perez,https://www.transfermarkt.com/enzo-perez/profil/spieler/56066,Argentina,19,No,NA,39,20,2011,29,553,103,455,473,6,right,Midfield,1.78,20,1.78,2011,4.833333333,right,0,"[18,21)","[1.6,1.78]","(8,56]",2010s,Argentina,South_America
Enzo Roco,https://fbref.com/en/players/37f827ec/Enzo-Roco,https://www.transfermarkt.com/enzo-roco/profil/spieler/186862,Chile,15,No,NA,32,18,2014,8,407,48,262,286,9,right,Defender,1.92,18,1.92,2014,0.888888889,right,0,"[18,21)","(1.83,2]","(3,8]",2010s,Chile,Rest_of_World
Eric Bailly,https://fbref.com/en/players/a1232f4e/Eric-Bailly,https://www.transfermarkt.com/eric-bailly/profil/spieler/286384,Cote d'Ivoire,11,No,NA,31,20,2014,27,826,169,226,274,17,right,Defender,1.87,20,1.87,2014,1.588235294,right,0,"[18,21)","(1.83,2]","(8,56]",2010s,Cote d'Ivoire,Rest_of_World
Eric López,https://fbref.com/en/players/45ac80b3/Eric-Lopez,https://www.transfermarkt.com/eric-lopez/profil/spieler/176120,Spain,16,No,NA,32,17,2010,NA,NA,NA,4,4,0,right,Attack,1.78,17,1.78,2010,0,right,0,"[15,18)","[1.6,1.78]",NA,2010s,Spain,EU_Major
Erik Morán,https://fbref.com/en/players/6941883f/Erik-Moran,https://www.transfermarkt.com/erik-moran/profil/spieler/67542,Spain,13,No,NA,34,21,2012,3,45,7,277,277,0,right,Midfield,1.87,21,1.87,2012,0,right,0,"[21,24)","(1.83,2]","[1,3]",2010s,Spain,EU_Major
Ernesto Galán,https://fbref.com/en/players/7e4af593/Ernesto-Galan,https://www.transfermarkt.com/ernesto-galan/profil/spieler/73009,Spain,13,Yes,36,39,23,2009,2,102,15,204,204,0,right,Defender,1.81,23,1.81,2009,0,right,1,"[21,24)","(1.78,1.83]","[1,3]",2000s,Spain,EU_Major
Esteban,https://fbref.com/en/players/e4fc2638/Esteban,https://www.transfermarkt.com/esteban/profil/spieler/15974,Spain,20,Yes,42,50,22,1997,1,24,4,484,484,0,both,Goalkeeper,1.77,22,1.77,1997,0,both,1,"[21,24)","[1.6,1.78]","[1,3]",1990s,Spain,EU_Major
Esteban Granero,https://fbref.com/en/players/1b17ed86/Esteban-Granero,https://www.transfermarkt.com/esteban-granero/profil/spieler/44065,Spain,16,Yes,34,38,18,2006,7,293,66,371,371,0,right,Midfield,1.8,18,1.8,2006,0,right,1,"[18,21)","(1.78,1.83]","(3,8]",2000s,Spain,EU_Major
Evaldo Fabiano,https://fbref.com/en/players/74ea03bb/Evaldo-Fabiano,https://www.transfermarkt.com/evaldo/profil/spieler/25106,Brazil  Portugal,18,Yes,40,43,22,2003,NA,NA,NA,304,304,0,left,Defender,1.83,22,1.83,2003,0,left,1,"[21,24)","(1.78,1.83]",NA,2000s,Brazil Portugal,EU_Major
Ezequiel Calvente,https://fbref.com/en/players/633ea214/Ezequiel-Calvente,https://www.transfermarkt.com/ezequiel-calvente/profil/spieler/153739,Spain,16,No,NA,34,19,2010,5,106,10,109,109,0,right,Attack,1.69,19,1.69,2010,0,right,0,"[18,21)","[1.6,1.78]","(3,8]",2010s,Spain,EU_Major
Ezequiel Garay,https://fbref.com/en/players/ac3fb1be/Ezequiel-Garay,https://www.transfermarkt.com/ezequiel-garay/profil/spieler/35939,Argentina  Spain,17,Yes,35,38,18,2005,19,681,93,411,430,5,right,Defender,1.88,18,1.88,2005,3.8,right,1,"[18,21)","(1.83,2]","(8,56]",2000s,Argentina Spain,EU_Major
Ezequiel Rescaldani,https://fbref.com/en/players/fa1042a6/Ezequiel-Rescaldani,https://www.transfermarkt.com/ezequiel-rescaldani/profil/spieler/164477,Argentina  Italy,14,Yes,32,33,18,2013,4,72,8,107,107,0,right,Attack,1.92,18,1.92,2013,0,right,1,"[18,21)","(1.83,2]","(3,8]",2010s,Argentina Italy,EU_Major
Fábio Coentrão,https://fbref.com/en/players/0f8bd0a6/Fabio-Coentrao,https://www.transfermarkt.com/fabio-coentrao/profil/spieler/33648,Portugal,16,Yes,33,37,17,2004,27,711,109,290,326,10,left,Defender,1.79,17,1.79,2004,2.7,left,1,"[15,18)","(1.78,1.83]","(8,56]",2000s,Portugal,EU_Major
Fabián Orellana,https://fbref.com/en/players/c90977db/Fabian-Orellana,https://www.transfermarkt.com/fabian-orellana/profil/spieler/60890,Chile  Spain,18,Yes,37,39,19,2009,7,187,35,397,415,10,right,Attack,1.68,19,1.68,2009,0.7,right,1,"[18,21)","[1.6,1.78]","(3,8]",2000s,Chile Spain,EU_Major
Fabián Vargas,https://fbref.com/en/players/37a8a372/Fabian-Vargas,https://www.transfermarkt.com/fabian-vargas/profil/spieler/20006,Colombia,15,Yes,38,45,23,2009,1,142,24,133,133,0,right,Midfield,1.78,23,1.78,2009,0,right,1,"[21,24)","[1.6,1.78]","[1,3]",2000s,Colombia,Rest_of_World
Fabinho,https://fbref.com/en/players/7f3b388c/Fabinho,https://www.transfermarkt.com/fabinho/profil/spieler/225693,Brazil,14,No,NA,31,18,2012,10,233,47,520,544,9,right,Midfield,1.88,18,1.88,2012,1.111111111,right,0,"[18,21)","(1.83,2]","(8,56]",2010s,Brazil,South_America
Fabricio,https://fbref.com/en/players/af245161/Fabricio,https://www.transfermarkt.com/fabri/profil/spieler/45882,Spain  Uruguay,19,No,NA,37,20,2007,5,771,112,185,185,0,NA,Goalkeeper,1.84,20,1.84,2007,0,unknown,0,"[18,21)","(1.83,2]","(3,8]",2000s,Spain Uruguay,EU_Major
Fausto Rossi,https://fbref.com/en/players/79a8fa04/Fausto-Rossi,https://www.transfermarkt.com/fausto-rossi/profil/spieler/81743,Italy,16,No,NA,34,19,2010,15,533,93,178,178,0,right,Midfield,1.77,19,1.77,2010,0,right,0,"[18,21)","[1.6,1.78]","(8,56]",2010s,Italy,EU_Major
Fausto Tienza,https://fbref.com/en/players/039783d3/Fausto-Tienza,https://www.transfermarkt.com/fausto-tienza/profil/spieler/174859,Spain,13,No,NA,35,23,2012,4,134,15,151,151,0,right,Midfield,1.83,23,1.83,2012,0,right,0,"[21,24)","(1.78,1.83]","(3,8]",2010s,Spain,EU_Major
Fayçal Fajr,https://fbref.com/en/players/79135368/Faycal-Fajr,https://www.transfermarkt.com/faycal-fajr/profil/spieler/174344,Morocco  France,15,No,NA,36,23,2011,4,45,10,430,479,15,right,Midfield,1.79,23,1.79,2011,0.266666667,right,0,"[21,24)","(1.78,1.83]","(3,8]",2010s,Morocco France,EU_Major
Fede Vico,https://fbref.com/en/players/f681a8ef/Fede-Vico,https://www.transfermarkt.com/fede-vico/profil/spieler/162079,Spain,15,No,NA,31,16,2010,5,532,77,324,324,0,left,Attack,1.79,16,1.79,2010,0,left,0,"[15,18)","(1.78,1.83]","(3,8]",2010s,Spain,EU_Major
Federico Cartabia,https://fbref.com/en/players/a8e6bebf/Federico-Cartabia,https://www.transfermarkt.com/fede-cartabia/profil/spieler/242548,Argentina  United Arab Emirates,13,No,NA,32,20,2013,8,228,26,164,164,0,left,Attack,1.69,20,1.69,2013,0,left,0,"[18,21)","[1.6,1.78]","(3,8]",2010s,Argentina United Arab Emirates,South_America
Federico Fazio,https://fbref.com/en/players/4e358a2d/Federico-Fazio,https://www.transfermarkt.com/federico-fazio/profil/spieler/45314,Argentina  Italy,17,Yes,37,38,20,2007,22,463,82,431,439,5,right,Defender,1.95,20,1.95,2007,4.4,right,1,"[18,21)","(1.83,2]","(8,56]",2000s,Argentina Italy,EU_Major
Federico Fernández,https://fbref.com/en/players/f25b010f/Federico-Fernandez,https://www.transfermarkt.com/federico-fernandez/profil/spieler/85475,Argentina  Italy,16,Yes,36,36,20,2011,12,288,41,321,339,3,right,Defender,1.89,20,1.89,2011,4,right,1,"[18,21)","(1.83,2]","(8,56]",2010s,Argentina Italy,EU_Major
Federico Piovaccari,https://fbref.com/en/players/fa49f136/Federico-Piovaccari,https://www.transfermarkt.com/federico-piovaccari/profil/spieler/44514,Italy,19,Yes,41,40,22,2006,3,74,10,355,355,0,right,Attack,1.8,22,1.8,2006,0,right,1,"[21,24)","(1.78,1.83]","[1,3]",2000s,Italy,EU_Major
Felipe Caicedo,https://fbref.com/en/players/93b891d1/Felipe-Caicedo,https://www.transfermarkt.com/felipe-caicedo/profil/spieler/37834,Ecuador  Spain,19,No,NA,36,18,2006,28,479,77,488,515,5,left,Attack,1.83,18,1.83,2006,5.6,left,0,"[18,21)","(1.78,1.83]","(8,56]",2000s,Ecuador Spain,EU_Major
Felipe Mattioni,https://fbref.com/en/players/8dbe6343/Felipe-Mattioni,https://www.transfermarkt.com/felipe-mattioni/profil/spieler/52432,Brazil  Italy,14,Yes,33,36,19,2008,3,491,74,78,78,0,right,Defender,1.77,19,1.77,2008,0,right,1,"[18,21)","[1.6,1.78]","[1,3]",2000s,Brazil Italy,EU_Major
Fernando,https://fbref.com/en/players/2a81fa5d/Fernando,https://www.transfermarkt.com/fernando/profil/spieler/15721,Spain,14,Yes,34,46,20,1999,1,43,2,317,317,0,right,Attack,1.81,20,1.81,1999,0,right,1,"[18,21)","(1.78,1.83]","[1,3]",1990s,Spain,EU_Major
Fernando Amorebieta,https://fbref.com/en/players/b2bbc0ec/Fernando-Amorebieta,https://www.transfermarkt.com/fernando-amorebieta/profil/spieler/35548,Venezuela  Spain,17,Yes,37,40,20,2005,14,356,90,349,357,3,left,Defender,1.91,20,1.91,2005,4.666666667,left,1,"[18,21)","(1.83,2]","(8,56]",2000s,Venezuela Spain,EU_Major
Fernando Cavenaghi,https://fbref.com/en/players/d34453a9/Fernando-Cavenaghi,https://www.transfermarkt.com/fernando-cavenaghi/profil/spieler/3852,Argentina  Italy,16,Yes,33,41,17,2004,5,457,46,235,235,0,right,Attack,1.81,17,1.81,2004,0,right,1,"[15,18)","(1.78,1.83]","(3,8]",2000s,Argentina Italy,EU_Major
Fernando Gago,https://fbref.com/en/players/e86337bd/Fernando-Gago,https://www.transfermarkt.com/fernando-gago/profil/spieler/38954,Argentina  Italy,16,Yes,34,39,18,2006,27,1584,194,259,281,5,right,Midfield,1.77,18,1.77,2006,5.4,right,1,"[18,21)","[1.6,1.78]","(8,56]",2000s,Argentina Italy,EU_Major
Fernando Llorente,https://fbref.com/en/players/82dbf623/Fernando-Llorente,https://www.transfermarkt.com/fernando-llorente/profil/spieler/35564,Spain,19,Yes,38,40,19,2004,11,206,34,580,589,5,right,Attack,1.95,19,1.95,2004,2.2,right,1,"[18,21)","(1.83,2]","(8,56]",2000s,Spain,EU_Major
Fernando Navarro,https://fbref.com/en/players/5a3f6fae/Fernando-Navarro,https://www.transfermarkt.com/fernando-navarro/profil/spieler/7593,Spain,17,Yes,36,43,19,2001,3,51,9,465,466,2,left,Defender,1.76,19,1.76,2001,1.5,left,1,"[18,21)","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Fernando Soriano,https://fbref.com/en/players/1aa72854/Fernando-Soriano,https://www.transfermarkt.com/fernando-soriano/profil/spieler/7989,Spain,16,Yes,37,45,21,2001,2,38,6,471,471,0,right,Attack,1.89,21,1.89,2001,0,right,1,"[21,24)","(1.83,2]","[1,3]",2000s,Spain,EU_Major
Fernando Tissone,https://fbref.com/en/players/e224238d/Fernando-Tissone,https://www.transfermarkt.com/fernando-tissone/profil/spieler/35871,Argentina  Italy,21,No,NA,39,18,2004,9,418,48,291,291,0,right,Midfield,1.82,18,1.82,2004,0,right,0,"[18,21)","(1.78,1.83]","(8,56]",2000s,Argentina Italy,EU_Major
Fernando Torres,https://fbref.com/en/players/bdf7b97d/Fernando-Torres,https://www.transfermarkt.com/fernando-torres/profil/spieler/7767,Spain,18,Yes,35,41,17,2001,16,342,81,691,757,14,right,Attack,1.86,17,1.86,2001,1.142857143,right,1,"[15,18)","(1.83,2]","(8,56]",2000s,Spain,EU_Major
Ferran Corominas,https://fbref.com/en/players/46d0c528/Ferran-Corominas,https://www.transfermarkt.com/ferran-corominas/profil/spieler/15790,Spain,18,Yes,38,42,20,2003,2,51,12,413,413,0,right,Attack,1.71,20,1.71,2003,0,right,1,"[18,21)","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Fidel,https://fbref.com/en/players/eb82b6f1/Fidel,https://www.transfermarkt.com/fidel/profil/spieler/149231,Spain,17,No,NA,35,20,2009,3,84,13,497,497,0,left,Attack,1.8,20,1.8,2009,0,left,0,"[18,21)","(1.78,1.83]","[1,3]",2000s,Spain,EU_Major
Filipe Augusto,https://fbref.com/en/players/0e34de55/Filipe-Augusto,https://www.transfermarkt.com/filipe-augusto/profil/spieler/212899,Brazil,13,No,NA,31,19,2012,11,443,65,250,250,0,left,Midfield,1.83,19,1.83,2012,0,left,0,"[18,21)","(1.78,1.83]","(8,56]",2010s,Brazil,South_America
Filipe Luís,https://fbref.com/en/players/e4ed2628/Filipe-Luis,https://www.transfermarkt.com/filipe-luis/profil/spieler/21725,Brazil  Poland,22,Yes,39,39,17,2005,16,450,91,618,644,8,left,Defender,1.82,17,1.82,2005,2,left,1,"[15,18)","(1.78,1.83]","(8,56]",2000s,Brazil Poland,South_America
Flávio Ferreira,https://fbref.com/en/players/e867f734/Flavio-Ferreira,https://www.transfermarkt.com/flavio-ferreira/profil/spieler/109008,Portugal,7,Yes,25,33,18,2011,9,579,62,65,65,0,right,Defender,1.8,18,1.8,2011,0,right,1,"[18,21)","(1.78,1.83]","(8,56]",2010s,Portugal,EU_Major
Florent Sinama Pongolle,https://fbref.com/en/players/f222974d/Florent-Sinama-Pongolle,https://www.transfermarkt.com/florent-sinama-pongolle/profil/spieler/4216,France  Réunion,19,Yes,35,40,16,2002,8,565,74,285,285,0,right,Attack,1.76,16,1.76,2002,0,right,1,"[15,18)","[1.6,1.78]","(3,8]",2000s,France Réunion,EU_Major
Florian Lejeune,https://fbref.com/en/players/6eaed4eb/Florian-Lejeune,https://www.transfermarkt.com/florian-lejeune/profil/spieler/127108,France,16,No,NA,34,18,2009,8,554,64,444,444,0,right,Defender,1.9,18,1.9,2009,0,right,0,"[18,21)","(1.83,2]","(3,8]",2000s,France,EU_Major
Florin Andone,https://fbref.com/en/players/dc008610/Florin-Andone,https://www.transfermarkt.com/florin-andone/profil/spieler/177065,Romania  Spain,11,No,NA,32,21,2014,7,476,72,231,256,7,right,Attack,1.81,21,1.81,2014,1,right,0,"[21,24)","(1.78,1.83]","(3,8]",2010s,Romania Spain,EU_Major
Formose Mendy,https://fbref.com/en/players/eeee0542/Formose-Mendy,https://www.transfermarkt.com/formose-mendy/profil/spieler/98313,Guinea-Bissau  France,15,No,NA,36,22,2011,NA,NA,NA,51,51,0,right,Attack,1.83,22,1.83,2011,0,right,0,"[21,24)","(1.78,1.83]",NA,2010s,Guinea-Bissau France,EU_Major
Frédéric Kanouté,https://fbref.com/en/players/1a24d5b6/Frederic-Kanoute,https://www.transfermarkt.com/frederic-kanoute/profil/spieler/3700,Mali  France,17,Yes,36,47,19,1997,4,65,13,447,450,1,right,Attack,1.92,19,1.92,1997,4,right,1,"[18,21)","(1.83,2]","(3,8]",1990s,Mali France,EU_Major
Fran Mérida,https://fbref.com/en/players/0e50f929/Fran-Merida,https://www.transfermarkt.com/fran-merida/profil/spieler/42920,Spain,17,Yes,34,35,17,2007,7,167,23,316,316,0,left,Midfield,1.73,17,1.73,2007,0,left,1,"[15,18)","[1.6,1.78]","(3,8]",2000s,Spain,EU_Major
Fran Rico,https://fbref.com/en/players/eda29127/Fran-Rico,https://www.transfermarkt.com/fran-rico/profil/spieler/63689,Spain,8,Yes,32,37,24,2011,6,1531,172,137,137,0,right,Midfield,1.78,24,1.78,2011,0,right,1,"[24,30]","[1.6,1.78]","(3,8]",2010s,Spain,EU_Major
Fran Serrano,https://fbref.com/en/players/a1eeef2c/Fran-Serrano,https://www.transfermarkt.com/fran-serrano/profil/spieler/309007,Spain,10,No,NA,30,20,2014,NA,NA,NA,4,4,0,NA,Defender,1.92,20,1.92,2014,0,unknown,0,"[18,21)","(1.83,2]",NA,2010s,Spain,EU_Major
Fran Sol,https://fbref.com/en/players/9bd3b683/Fran-Sol,https://www.transfermarkt.com/fran-sol/profil/spieler/164292,Spain,13,No,NA,33,20,2012,5,181,27,219,219,0,right,Attack,1.82,20,1.82,2012,0,right,0,"[18,21)","(1.78,1.83]","(3,8]",2010s,Spain,EU_Major
Fran Vélez,https://fbref.com/en/players/9d619e08/Fran-Velez,https://www.transfermarkt.com/fran-velez/profil/spieler/147078,Spain,16,No,NA,34,18,2009,13,388,50,248,248,0,right,Defender,1.82,18,1.82,2009,0,right,0,"[18,21)","(1.78,1.83]","(8,56]",2000s,Spain,EU_Major
Francesc Arnau,https://fbref.com/en/players/23ab8dc9/Francesc-Arnau,https://www.transfermarkt.com/francesc-arnau/profil/spieler/7770,Spain,26,No,NA,50,20,1996,NA,NA,NA,161,161,0,right,Goalkeeper,1.86,20,1.86,1996,0,right,0,"[18,21)","(1.83,2]",NA,1990s,Spain,EU_Major
Francis,https://fbref.com/en/players/ee4c7c24/Francis,https://www.transfermarkt.com/francis-perez/profil/spieler/29156,Spain,17,Yes,35,43,18,2003,1,153,21,288,288,0,right,Defender,1.78,18,1.78,2003,0,right,1,"[18,21)","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Francisco Portillo,https://fbref.com/en/players/8e010ff4/Francisco-Portillo,https://www.transfermarkt.com/francisco-portillo/profil/spieler/138803,Spain,16,No,NA,35,19,2009,1,16,1,402,402,0,right,Attack,1.69,19,1.69,2009,0,right,0,"[18,21)","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Francisco Puñal,https://fbref.com/en/players/408ec22e/Francisco-Punal,https://www.transfermarkt.com/patxi-punal/profil/spieler/7739,Spain,17,Yes,39,49,22,2001,2,38,6,431,431,0,right,Midfield,1.79,22,1.79,2001,0,right,1,"[21,24)","(1.78,1.83]","[1,3]",2000s,Spain,EU_Major
Francisco Silva,https://fbref.com/en/players/11d68e60/Francisco-Silva,https://www.transfermarkt.com/francisco-silva/profil/spieler/84870,Chile,18,No,NA,39,22,2012,13,487,63,189,213,8,right,Midfield,1.78,22,1.78,2012,1.625,right,0,"[21,24)","[1.6,1.78]","(8,56]",2010s,Chile,Rest_of_World
Francisco Sutil,https://fbref.com/en/players/51b44d11/Francisco-Sutil,https://www.transfermarkt.com/paco-sutil/profil/spieler/71211,Spain,14,Yes,37,40,23,2008,6,187,25,118,118,0,left,Attack,1.72,23,1.72,2008,0,left,1,"[21,24)","[1.6,1.78]","(3,8]",2000s,Spain,EU_Major
Franco Fragapane,https://fbref.com/en/players/09538c47/Franco-Fragapane,https://www.transfermarkt.com/franco-fragapane/profil/spieler/226005,Argentina  Italy,13,No,NA,32,20,2014,2,88,14,283,283,0,right,Attack,1.67,20,1.67,2014,0,right,0,"[18,21)","[1.6,1.78]","[1,3]",2010s,Argentina Italy,EU_Major
Franco Jara,https://fbref.com/en/players/413cce14/Franco-Jara,https://www.transfermarkt.com/franco-jara/profil/spieler/75035,Argentina,18,No,NA,37,19,2010,8,181,29,371,371,0,right,Attack,1.81,19,1.81,2010,0,right,0,"[18,21)","(1.78,1.83]","(3,8]",2010s,Argentina,South_America
Franco Vázquez,https://fbref.com/en/players/467bae22/Franco-Vazquez,https://www.transfermarkt.com/franco-vazquez/profil/spieler/76163,Argentina  Italy,16,No,NA,36,20,2011,1,32,7,467,472,3,left,Attack,1.87,20,1.87,2011,0.333333333,left,0,"[18,21)","(1.83,2]","[1,3]",2010s,Argentina Italy,EU_Major
