transfermarkt_id,player_name,player_url,status,name_home_country_fbref,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,transfermarkt_url
3878,Michael Carrick,https://fbref.com/en/players/ab7263c1/Michael-Carrick,Success,Not found,28-Jul-81,Not found,188,England eng,MF (CM-DM),Both,1999-2000,18 years,West Ham,1999,https://www.transfermarkt.com/michael-carrick/profil/spieler/3878
48066,Andy Carroll,https://fbref.com/en/players/b581987a/Andy-Carroll,Success,Not found,6-Jan-89,Not found,191,England eng,FW,Left,2006-2007,17 years,Newcastle Utd,2006,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066
14555,Scott Carson,https://fbref.com/en/players/3e1550ee/Scott-Carson,Success,Not found,3-Sep-85,Not found,192,England eng,GK,Right,2003-2004,17 years,Leeds United,2003,https://www.transfermarkt.com/scott-carson/profil/spieler/14555
59606,Craig Cathcart,https://fbref.com/en/players/89e4b358/Craig-Cathcart,Success,Not found,6-Feb-89,Not found,188,Northern Ireland nir,DF (CB),Right,2008-2009,19 years,Plymouth Argyle,2008,https://www.transfermarkt.com/craig-cathcart/profil/spieler/59606
37363,Lee Cattermole,https://fbref.com/en/players/538e77d5/Lee-Cattermole,Success,Not found,21-Mar-88,Not found,178,England eng,MF (DM),Right,2005-2006,17 years,Middlesbrough,2005,https://www.transfermarkt.com/lee-cattermole/profil/spieler/37363
21354,Marek Čech,https://fbref.com/en/players/bc9fd7f1/Marek-Cech,Success,Not found,8-Apr-76,Not found,187,Czech Republic,GK,Not found,2007,30 years,LE Vladivostok,Not found,https://www.transfermarkt.com/marek-ech/profil/spieler/21354
5658,Petr Čech,https://fbref.com/en/players/71672fa0/Petr-Cech,Success,Not found,20-May-82,Not found,196,Czech Republic,GK,Left,2002-2003,20 years,Rennes,2002,https://www.transfermarkt.com/petr-ech/profil/spieler/5658
19085,Marouane Chamakh,https://fbref.com/en/players/790ca5f3/Marouane-Chamakh,Success,Not found,10-Jan-84,Not found,188,Morocco ma  Other: France,FW,Right,2002-2003,18 years,Bordeaux,2002,https://www.transfermarkt.com/marouane-chamakh/profil/spieler/19085
18875,Pascal Chimbonda,https://fbref.com/en/players/5cbb464e/Pascal-Chimbonda,Success,Not found,21-Feb-79,Not found,180,France fr  Other: Guadeloupe,DF,Not found,1999-2000,20 years,Le Havre,1999,https://www.transfermarkt.com/pascal-chimbonda/profil/spieler/18875
98240,Ciaran Clark,https://fbref.com/en/players/2b91cf8e/Ciaran-Clark,Success,Not found,26-Sep-89,Not found,188,Republic of Ireland ie  Other: England,"DF-MF (CB, left)",Left,2009-2010,19 years,Aston Villa,2009,https://www.transfermarkt.com/ciaran-clark/profil/spieler/98240
73484,Tom Cleverley,https://fbref.com/en/players/6cdd8245/Tom-Cleverley,Success,Not found,12-Aug-89,Not found,175,England eng,MF (CM),Right,2008-2009,18 years,Leicester City,2008,https://www.transfermarkt.com/tom-cleverley/profil/spieler/73484
7449,Gaël Clichy,https://fbref.com/en/players/450ad405/Gael-Clichy,Success,Not found,26-Jul-85,Not found,176,France,"DF (FB, left)",Left,2003-2004,18 years,Arsenal,2003,https://www.transfermarkt.com/gal-clichy/profil/spieler/7449
