player_name,player_id,slug,transfermarkt_url
Carles Planas,66099,carles-planas,https://www.transfermarkt.com/carles-planas/profil/spieler/66099
Carles Puyol,7594,carles-puyol,https://www.transfermarkt.com/carles-puyol/profil/spieler/7594
Carlos Aranda,7841,carlos-aranda,https://www.transfermarkt.com/carlos-aranda/profil/spieler/7841
Carlos Bacca,119235,carlos-bacca,https://www.transfermarkt.com/carlos-bacca/profil/spieler/119235
Carlos Bellvís,51550,carlos-bellvis,https://www.transfermarkt.com/carlos-bellvis/profil/spieler/51550
Carlos Caballero,71002,carlos-caballero,https://www.transfermarkt.com/carlos-caballero/profil/spieler/71002
Carlos Clerc,193784,carlos-clerc,https://www.transfermarkt.com/carlos-clerc/profil/spieler/193784
Carlos Diogo,32233,carlos-diogo,https://www.transfermarkt.com/carlos-diogo/profil/spieler/32233
Carlos Fernández,216464,carlos-fernandez,https://www.transfermarkt.com/carlos-fernandez/profil/spieler/216464
Carlos García,199134,carlos-garcia,https://www.transfermarkt.com/carlos-garcia/profil/spieler/199134
Carlos García,15762,carlos-garcia,https://www.transfermarkt.com/carlos-garcia/profil/spieler/15762
Carlos Gurpegui,7631,carlos-gurpegui,https://www.transfermarkt.com/carlos-gurpegui/profil/spieler/7631
Carlos Kameni,7914,carlos-kameni,https://www.transfermarkt.com/carlos-kameni/profil/spieler/7914
Carlos Marchena,7572,carlos-marchena,https://www.transfermarkt.com/carlos-marchena/profil/spieler/7572
Carlos Martínez,58074,carlos-martinez,https://www.transfermarkt.com/carlos-martinez/profil/spieler/58074
Carlos Martins,14511,carlos-martins,https://www.transfermarkt.com/carlos-martins/profil/spieler/14511
Carlos Peña,8746,carlos-pena,https://www.transfermarkt.com/carlos-pena/profil/spieler/8746
Carlos Sánchez,51226,carlos-sanchez,https://www.transfermarkt.com/carlos-sanchez/profil/spieler/51226
Carlos Selfa,252688,carlos-selfa,https://www.transfermarkt.com/carlos-selfa/profil/spieler/252688
Carlos Tomás,125797,carlos-tomas,https://www.transfermarkt.com/carlos-tomas/profil/spieler/125797
Carlos Vela,35773,carlos-vela,https://www.transfermarkt.com/carlos-vela/profil/spieler/35773
Carlos Vigaray,263627,carlos-vigaray,https://www.transfermarkt.com/carlos-vigaray/profil/spieler/263627
Carmelo González,44038,carmelo,https://www.transfermarkt.com/carmelo/profil/spieler/44038
Casemiro,16306,casemiro,https://www.transfermarkt.com/casemiro/profil/spieler/16306
Casto,47722,casto,https://www.transfermarkt.com/casto/profil/spieler/47722
Cata Díaz,39087,cata-diaz,https://www.transfermarkt.com/cata-diaz/profil/spieler/39087
Cedrick Mabwati,137162,cedrick,https://www.transfermarkt.com/cedrick/profil/spieler/137162
Celso Borges,81532,celso-borges,https://www.transfermarkt.com/celso-borges/profil/spieler/81532
Cesc Fàbregas,8806,cesc-fabregas,https://www.transfermarkt.com/cesc-fabregas/profil/spieler/8806
Cezary Wilk,35448,cezary-wilk,https://www.transfermarkt.com/cezary-wilk/profil/spieler/35448
Charles,154059,charles,https://www.transfermarkt.com/charles/profil/spieler/154059
Charlie I'Anson,191866,charlie-ianson,https://www.transfermarkt.com/charlie-ianson/profil/spieler/191866
Charlie Took,210142,charlie-took,https://www.transfermarkt.com/charlie-took/profil/spieler/210142
Chechu,70898,chechu-dorado,https://www.transfermarkt.com/chechu-dorado/profil/spieler/70898
Chico Flores,51681,chico-flores,https://www.transfermarkt.com/chico-flores/profil/spieler/51681
Chori Domínguez,18958,alejandro-dominguez,https://www.transfermarkt.com/alejandro-dominguez/profil/spieler/18958
Chory Castro,28171,chory-castro,https://www.transfermarkt.com/chory-castro/profil/spieler/28171
Christian,48294,bolano,https://www.transfermarkt.com/bolano/profil/spieler/48294
Christian Alfonso,203108,christian-alfonso,https://www.transfermarkt.com/christian-alfonso/profil/spieler/203108
Christian Bravo,189735,christian-bravo,https://www.transfermarkt.com/christian-bravo/profil/spieler/189735
Christian Cueva,95280,christian-cueva,https://www.transfermarkt.com/christian-cueva/profil/spieler/95280
Christian Lell,2233,christian-lell,https://www.transfermarkt.com/christian-lell/profil/spieler/2233
Chuli,129515,chuli,https://www.transfermarkt.com/chuli/profil/spieler/129515
Cicinho,26101,cicinho,https://www.transfermarkt.com/cicinho/profil/spieler/26101
Cicinho,99632,cicinho,https://www.transfermarkt.com/cicinho/profil/spieler/99632
Ciprian Marica,16833,ciprian-marica,https://www.transfermarkt.com/ciprian-marica/profil/spieler/16833
Claudio Bravo,40423,claudio-bravo,https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423
Claudio Morel Rodríguez,7924,claudio-morel-rodriguez,https://www.transfermarkt.com/claudio-morel-rodriguez/profil/spieler/7924
Coke,71905,coke,https://www.transfermarkt.com/coke/profil/spieler/71905
Corona,7945,miguel-angel-corona,https://www.transfermarkt.com/miguel-angel-corona/profil/spieler/7945
Cristóbal,72281,cristobal-marquez,https://www.transfermarkt.com/cristobal-marquez/profil/spieler/72281
Cristhian Stuani,59323,cristhian-stuani,https://www.transfermarkt.com/cristhian-stuani/profil/spieler/59323
Cristián Zapata,34344,cristian-zapata,https://www.transfermarkt.com/cristian-zapata/profil/spieler/34344
Cristian Álvarez,55135,cristian-alvarez,https://www.transfermarkt.com/cristian-alvarez/profil/spieler/55135
Cristian Ansaldi,55854,cristian-ansaldi,https://www.transfermarkt.com/cristian-ansaldi/profil/spieler/55854
Cristian Bustos,57922,cristian-bustos,https://www.transfermarkt.com/cristian-bustos/profil/spieler/57922
Cristian Gómez,198047,cristian-gomez,https://www.transfermarkt.com/cristian-gomez/profil/spieler/198047
Cristian Herrera,237617,cristian-herrera,https://www.transfermarkt.com/cristian-herrera/profil/spieler/237617
Cristian Hidalgo,8155,cristian-hidalgo,https://www.transfermarkt.com/cristian-hidalgo/profil/spieler/8155
Cristian Lobato,175787,cristian-lobato,https://www.transfermarkt.com/cristian-lobato/profil/spieler/175787
Cristian Portilla,35538,cristian-portilla,https://www.transfermarkt.com/cristian-portilla/profil/spieler/35538
Cristian Pulhac,34781,cristian-pulhac,https://www.transfermarkt.com/cristian-pulhac/profil/spieler/34781
Cristian Rodríguez,33448,cristian-rodriguez,https://www.transfermarkt.com/cristian-rodriguez/profil/spieler/33448
Cristian Săpunaru,25942,cristian-sapunaru,https://www.transfermarkt.com/cristian-sapunaru/profil/spieler/25942
Cristian Tello,141834,cristian-tello,https://www.transfermarkt.com/cristian-tello/profil/spieler/141834
Cristiano Ronaldo,8198,cristiano-ronaldo,https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198
Dídac Vilà,67090,didac-vila,https://www.transfermarkt.com/didac-vila/profil/spieler/67090
Damià Abella,28002,damia-abella,https://www.transfermarkt.com/damia-abella/profil/spieler/28002
Damián Suárez,76746,damian-suarez,https://www.transfermarkt.com/damian-suarez/profil/spieler/76746
Damien Perquis,31050,damien-perquis,https://www.transfermarkt.com/damien-perquis/profil/spieler/31050
Dani Alves,15951,dani-alves,https://www.transfermarkt.com/dani-alves/profil/spieler/15951
Dani Aquino,59335,dani-aquino,https://www.transfermarkt.com/dani-aquino/profil/spieler/59335
Dani Benítez,63695,dani-benitez,https://www.transfermarkt.com/dani-benitez/profil/spieler/63695
Dani Carvajal,138927,daniel-carvajal,https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927
Dani Ceballos,319745,dani-ceballos,https://www.transfermarkt.com/dani-ceballos/profil/spieler/319745
Dani Estrada,47648,dani-estrada,https://www.transfermarkt.com/dani-estrada/profil/spieler/47648
Dani Güiza,8186,dani-guiza,https://www.transfermarkt.com/dani-guiza/profil/spieler/8186
Dani García,178425,dani-garcia,https://www.transfermarkt.com/dani-garcia/profil/spieler/178425
Dani Giménez,71801,dani-gimenez,https://www.transfermarkt.com/dani-gimenez/profil/spieler/71801
Dani Hernández,88528,dani-hernandez,https://www.transfermarkt.com/dani-hernandez/profil/spieler/88528
Dani Nieto,67544,dani-nieto,https://www.transfermarkt.com/dani-nieto/profil/spieler/67544
Dani Osvaldo,37389,daniel-osvaldo,https://www.transfermarkt.com/daniel-osvaldo/profil/spieler/37389
Dani Romera,271451,dani-romera,https://www.transfermarkt.com/dani-romera/profil/spieler/271451
Daniel Aranzubia,7612,daniel-aranzubia,https://www.transfermarkt.com/daniel-aranzubia/profil/spieler/7612
Daniel Candeias,56046,daniel-candeias,https://www.transfermarkt.com/daniel-candeias/profil/spieler/56046
Daniel Carriço,37712,daniel-carrico,https://www.transfermarkt.com/daniel-carrico/profil/spieler/37712
Daniel Larsson,27292,daniel-larsson,https://www.transfermarkt.com/daniel-larsson/profil/spieler/27292
Daniel Pacheco,28285,dani-pacheco,https://www.transfermarkt.com/dani-pacheco/profil/spieler/28285
Daniel Parejo,59561,dani-parejo,https://www.transfermarkt.com/dani-parejo/profil/spieler/59561
Daniel Pinillos,240039,dani-pinillos,https://www.transfermarkt.com/dani-pinillos/profil/spieler/240039
