player_name,player_url,player_id,full_name,position,current_club,status
Bacari,https://www.transfermarkt.com/bacari/profil/spieler/182257,182257,Bacari,Attack - Centre-Forward,N/A,Success
Baltasar Rigo,https://www.transfermarkt.com/baltasar-rigo/profil/spieler/70910,70910,Baltasar Rigo,Defender - Centre-Back,CE Campos,Success
Bartłomiej Pawłowski,https://www.transfermarkt.com/bartlomiej-pawlowski/profil/spieler/153667,153667,Bartłomiej Pawłowski,Midfield - Attacking Midfield,Widzew Lodz,Success
Beñat Etxebarria,https://www.transfermarkt.com/benat-etxebarria/profil/spieler/40888,40888,Beñat Etxebarria,Midfield - Central Midfield,N/A,Success
Bebé,https://www.transfermarkt.com/bebe/profil/spieler/153427,153427,Bebé,Attack - Left Winger,UD Ibiza,Success
Benoît Trémoulinas,https://www.transfermarkt.com/benoit-tremoulinas/profil/spieler/43264,43264,Benoît Trémoulinas,Defender - Left-Back,N/A,Success
Bernardo Espinosa,https://www.transfermarkt.com/bernardo-espinosa/profil/spieler/64598,64598,Bernardo Espinosa,Defender - Centre-Back,N/A,Success
Beto,https://www.transfermarkt.com/beto/profil/spieler/35242,35242,Beto,Goalkeeper,N/A,Success
Bobley Anderson,https://www.transfermarkt.com/bobley-anderson/profil/spieler/221076,221076,Bobley Anderson,Midfield - Attacking Midfield,N/A,Success
Bojan Jokić,https://www.transfermarkt.com/bojan-jokic/profil/spieler/44317,44317,Bojan Jokic,Defender - Left-Back,N/A,Success
Bojan Krkić,https://www.transfermarkt.com/bojan-krkic/profil/spieler/44675,44675,Bojan Krkic,Attack - Second Striker,N/A,Success
Borja Ekiza,https://www.transfermarkt.com/borja-ekiza/profil/spieler/89318,89318,Borja Ekiza,Defender - Centre-Back,N/A,Success
Borja Fernández,https://www.transfermarkt.com/borja-fernandez/profil/spieler/271988,271988,Borja Fernández,Midfield - Central Midfield,Europa FC,Success
Borja Fernández,https://www.transfermarkt.com/borja-fernandez/profil/spieler/7512,7512,Borja Fernández,Midfield - Defensive Midfield,N/A,Success
Borja Gómez Pérez,https://www.transfermarkt.com/borja-gomez/profil/spieler/65060,65060,Borja Gómez,Defender - Centre-Back,N/A,Success
Borja García,https://www.transfermarkt.com/borja-garcia/profil/spieler/89368,89368,Borja García,Defender - Centre-Back,Barakaldo CF,Success
Borja García,https://www.transfermarkt.com/borja-garcia/profil/spieler/67808,67808,Borja García,Midfield - Attacking Midfield,N/A,Success
Borja Iglesias,https://www.transfermarkt.com/borja-iglesias/profil/spieler/278359,278359,Borja Iglesias,Attack - Centre-Forward,Celta de Vigo,Success
Borja López,https://www.transfermarkt.com/borja-lopez/profil/spieler/214770,214770,Borja López,Defender - Centre-Back,AC Bellinzona,Success
Borja Oubiña,https://www.transfermarkt.com/borja-oubina/profil/spieler/15715,15715,Borja Oubiña,Midfield - Defensive Midfield,N/A,Success
Borja Valero,https://www.transfermarkt.com/borja-valero/profil/spieler/40372,40372,Borja Valero,Midfield - Central Midfield,N/A,Success
Borja Viguera,https://www.transfermarkt.com/borja-viguera/profil/spieler/61344,61344,Borja Viguera,Attack - Centre-Forward,Without Club,Success
Braian Rodríguez,https://www.transfermarkt.com/braian-rodriguez/profil/spieler/76984,76984,Braian Rodríguez,Attack - Centre-Forward,Unknown,Success
Brandon,https://www.transfermarkt.com/brandon-thomas/profil/spieler/251680,251680,Brandon Thomas,Attack - Centre-Forward,Apol. Limassol,Success
Braulio Nóbrega,https://www.transfermarkt.com/braulio-nobrega/profil/spieler/27488,27488,Braulio Nóbrega,Attack - Centre-Forward,Without Club,Success
Brayan Angulo,https://www.transfermarkt.com/brayan-angulo/profil/spieler/67866,67866,Brayan Angulo,Defender - Left-Back,N/A,Success
Bruno,https://www.transfermarkt.com/bruno-saltor/profil/spieler/51528,51528,Bruno Saltor,Defender - Right-Back,N/A,Success
Bruno Gama,https://www.transfermarkt.com/bruno-gama/profil/spieler/15568,15568,Bruno Gama,Attack - Right Winger,PS Kalamata,Success
Bruno Soriano,https://www.transfermarkt.com/bruno-soriano/profil/spieler/44412,44412,Bruno Soriano,Midfield - Defensive Midfield,N/A,Success
Bruno Zuculini,https://www.transfermarkt.com/bruno-zuculini/profil/spieler/115507,115507,Bruno Zuculini,Midfield - Defensive Midfield,Racing Club,Success
Bryan Rabello,https://www.transfermarkt.com/bryan-rabello/profil/spieler/160217,160217,Bryan Rabello,Midfield - Attacking Midfield,O'Higgins,Success
César Sánchez,https://www.transfermarkt.com/cesar-sanchez/profil/spieler/7510,7510,César Sánchez,Goalkeeper,N/A,Success
Cala,https://www.transfermarkt.com/cala/profil/spieler/150936,150936,Cala,Midfield - Central Midfield,Without Club,Success
Cala,https://www.transfermarkt.com/juan-cala/profil/spieler/67089,67089,Juan Cala,Defender - Centre-Back,N/A,Success
Cani,https://www.transfermarkt.com/cani/profil/spieler/7983,7983,Cani,Attack - Left Winger,N/A,Success
Carles Gil,https://www.transfermarkt.com/carles-gil/profil/spieler/127987,127987,Carles Gil,Midfield - Attacking Midfield,New England,Success
Carles Planas,https://www.transfermarkt.com/carles-planas/profil/spieler/66099,66099,Carles Planas,Defender - Left-Back,N/A,Success
