player_name,current_club,position,age,nationality
Diego Lugano,Not found,DF (CB),Not found,Uruguay
Diego Mainz,Not found,DF (CB),Not found,Spain
Diego Mariño,Albacete,GK,35-216d,Spain
Diego Perotti,Not found,"FW-MF (AM-WM, left)",Not found,Argentina
Diego Rivas,Not found,MF (DM),Not found,Not found
Diego Seoane,Not found,"DF (FB, right)",Not found,Not found
Diego Valeri,Not found,FW-MF (AM),Not found,Argentina
Dimitri Foulquier,Valencia,"DF-MF (FB, right)",32-263d,France fr  Other: Guadeloupe
Diogo Figueiras,CD FAS,"DF-MF (FB, right)",34-163d,Portugal
Diogo Salomão,Not found,"FW-MF (WM, left)",Not found,Portugal
Dioni,Eldense,FW,35-355d,Not found
Domingo Cisma,Not found,"DF (FB, left)",Not found,Not found
Dorlan Pabón,Envigado,FW-MF (AM-WM),37-321d,Colombia
Douglas,Not found,"DF (FB, right)",Not found,Brazil
Duško Tošić,Not found,DF (CB-FB),Not found,Serbia
Duda,Not found,"DF-FW-MF (FB-WM, left)",Not found,Portugal
Dudu Aouate,Not found,GK,Not found,Israel
Eñaut Zubikarai,Not found,GK,Not found,Not found
Eddy Silvestre,Johor Darul Ta'zim FC,MF (AM-CM),33-131d,Azerbaijan az  Other: Spain
Eder Vilarchao,Not found,MF (AM),Not found,Not found
Edimar Fraga,Not found,"DF-MF (FB-WM, left)",Not found,Not found
Edinho,Not found,FW-MF (WM),Not found,Portugal
Edmílson,Not found,DF-MF (CB-CM-DM),Not found,Brazil
Edson Ratinho,Not found,"DF-MF (FB-WM, right)",Not found,Not found
Edu Albácar,Not found,"DF (FB, left)",Not found,Not found
Edu Bedia,Not found,MF (CM-DM),Not found,Spain
Edu Caballer,Not found,DF (CB),Not found,Not found
Edu Oriol,Not found,FW-MF (WM),Not found,Not found
Edu Ramos,Not found,MF (CM-DM),Not found,Spain
Eduardo Salvio,Lanús,"FW-MF (AM-WM, right)",35-151d,Argentina
Eduardo Vargas,Audax Italiano,FW-MF (AM-WM),36-021d,Chile
Efraín Juárez,Not found,"DF-MF (CB-DM-FB, right)",Not found,Mexico
Elías,Not found,"MF (CM-DM, right)",Not found,Brazil
Eliseu,Not found,"DF-MF (AM-FB-WM, left)",Not found,Portugal
Emanuel Insúa,Racing Ferrol,"DF (FB, left)",34-245d,Not found
Emi Buendía,Aston Villa,FW-MF (AM),28-351d,Argentina
Emiliano Armenteros,Not found,MF,Not found,Argentina
Emiliano Insúa,Not found,"DF (CB-FB, left)",Not found,Argentina
Emiliano Velázquez,Danubio,DF (CB),31-225d,Uruguay
Emilio Nsue,CF Intercity,"DF-FW-MF (FB, right)",36-072d,Equatorial Guinea gq  Other: Spain
Emir Spahić,Not found,DF (CB),Not found,Bosnia and Herzegovina ba  Other: Croatia
Emmanuel Adebayor,Not found,FW,Not found,Togo
Emre Belözoğlu,Not found,MF (DM),Not found,Turkey
Eneko Bóveda,Not found,"DF (FB, right)",Not found,Not found
Eneko Capilla,Not found,MF,Not found,Not found
Eneko Satrústegui,Cultural y Deportiva Leonesa,"DF (FB, left)",35-077d,Not found
Enric Saborit,AEK Larnaca,"DF (FB, left)",33-228d,Spain
Enrique Corrales,Not found,"DF (FB, left)",Not found,Spain
