player_name,transfermarkt_url,status,transfermarkt_id,player_slug,home_name,dob_age,place_birth,height,citizenship,position,foot,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons,explanation
Daniel Agger,https://www.transfermarkt.com/daniel-agger/profil/spieler/22832,Success,22832,spieler,Daniel Agger,12/12/1984 (40),Hvidovre,"1,91 m",Denmark,Defender - Centre-Back,left,Not found,Bröndby IF,1/7/2016,-,Not found,10,579,122,Yes,1/7/2016,Not found,7,first scrap players transfer
Yakubu Aiyegbeni,https://www.transfermarkt.com/yakubu-aiyegbeni/profil/spieler/8559,Success,8559,spieler,Yakubu Aiyegbeni,22/11/1982 (43),Benin City,"1,83 m",Nigeria,Attack - Centre-Forward,Not found,Not found,Coventry,22/11/2017,-,Not found,1,184,34,Yes,22/11/2017,Not found,1,first scrap players transfer
Marc Albrighton,https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560,Success,61560,spieler,Marc Albrighton,18/11/1989 (36),Tamworth,"1,75 m",England,Midfield - Right Midfield,right,Not found,Leicester,29/08/2024,-,Nike,5,254,34,Yes,29/08/2024,Not found,4,first scrap players transfer
Antolín Alcaraz,https://www.transfermarkt.com/antoln-alcaraz/profil/spieler/14259,Success,14259,spieler,Antolín Alcaraz,30/07/1982 (43),Roque González,"1,87 m",Paraguay  Italy,Defender - Centre-Back,right,Not found,Olimpia,30/10/2023,-,Not found,7,541,96,Yes,30/10/2023,Not found,6,first scrap players transfer
Alex,https://www.transfermarkt.com/alex/profil/spieler/349066,Success,349066,spieler,Alexander Isak,21/09/1999 (26),Solna,"1,92 m",Sweden  Eritrea,Attack - Centre-Forward,right,Not found,Liverpool,1/9/2025,30/06/2031,adidas,17,368,73,No,Not found,9,8,first scrap players transfer
Manuel Almunia,https://www.transfermarkt.com/manuel-almunia/profil/spieler/16621,Success,16621,spieler,Manuel Almunia,19/05/1977 (48),Pamplona,"1,91 m",Spain,Goalkeeper,right,Not found,Watford,27/08/2014,-,Not found,7,161,36,Yes,27/08/2014,Not found,4,first scrap players transfer
Marcos Alonso,https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515,Success,112515,spieler,Marcos Alonso,28/12/1990 (34),Madrid,"1,88 m",Spain,Defender - Centre-Back,left,Not found,Celta de Vigo,28/08/2024,30/06/2026,Nike,12,482,87,No,Not found,20,8,first scrap players transfer
Sammy Ameobi,https://www.transfermarkt.com/sammy-ameobi/profil/spieler/92381,Success,92381,spieler,Sammy Ameobi,01/05/1992 (33),Newcastle upon Tyne,"1,90 m",England  Nigeria,Attack - Left Winger,left,Not found,Middlesbrough,1/7/2022,-,Not found,2,159,24,Yes,1/7/2022,Not found,2,first scrap players transfer
Shola Ameobi,https://www.transfermarkt.com/shola-ameobi/profil/spieler/3276,Success,3276,spieler,Shola Ameobi,12/10/1981 (44),Zaria,"1,91 m",Nigeria  England,Attack - Centre-Forward,right,Not found,Notts County,1/7/2018,-,Not found,5,97,19,Yes,1/7/2018,Not found,2,first scrap players transfer
Anderson,https://www.transfermarkt.com/anderson/profil/spieler/8564,Success,8564,spieler,Deco,27/08/1977 (48),São Bernardo do Campo,"1,76 m",Portugal  Brazil,Midfield - Attacking Midfield,right,Not found,Fluminense,26/08/2013,-,Not found,7,170,44,Yes,26/08/2013,Not found,3,first scrap players transfer
Keith Andrews,https://www.transfermarkt.com/keith-andrews/profil/spieler/8035,Success,8035,spieler,Keith Andrews,13/09/1980 (45),Dublin,"1,83 m",Ireland  England,Midfield - Central Midfield,right,Not found,Bolton,4/8/2015,-,Not found,1,14,3,Yes,4/8/2015,Not found,1,first scrap players transfer
Nicolas Anelka,https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226,Success,3226,spieler,Nicolas Anelka,14/03/1979 (46),Versailles,"1,86 m",France  Martinique,Attack - Centre-Forward,right,Not found,Mumbai City,1/1/2016,-,Not found,13,294,53,Yes,1/1/2016,Not found,8,first scrap players transfer
Marcos Angeleri,https://www.transfermarkt.com/marcos-angeleri/profil/spieler/27448,Success,27448,spieler,Marcos Angeleri,07/04/1983 (42),Treinta de Agosto,"1,83 m",Argentina  Italy,Defender - Right-Back,right,Not found,Argentinos Jrs.,1/7/2020,-,Nike,7,543,90,Yes,1/7/2020,Not found,5,first scrap players transfer
Victor Anichebe,https://www.transfermarkt.com/victor-anichebe/profil/spieler/39532,Success,39532,spieler,Victor Anichebe,23/04/1988 (37),Lagos,"1,90 m",Nigeria  England,Attack - Centre-Forward,right,Not found,BJ Enterprises,1/7/2018,-,Not found,9,512,106,Yes,1/7/2018,Not found,6,first scrap players transfer
Andrey Arshavin,https://www.transfermarkt.com/andrey-arshavin/profil/spieler/15378,Success,15378,spieler,Andrey Arshavin,29/05/1981 (44),Leningrad,"1,72 m",Russia,Attack - Left Winger,both,Not found,Kairat Almaty,1/1/2019,-,Not found,6,116,23,Yes,1/1/2019,Not found,4,first scrap players transfer
Mikel Arteta,https://www.transfermarkt.com/mikel-arteta/profil/spieler/7451,Success,7451,spieler,Mikel Arteta,26/03/1982 (43),Donostia-San Sebastián,"1,77 m",Spain,Midfield - Central Midfield,right,Not found,Arsenal,1/7/2016,-,Puma,14,701,168,Yes,1/7/2016,Not found,7,first scrap players transfer
Benoît Assou-Ekotto,https://www.transfermarkt.com/benot-assou-ekotto/profil/spieler/18310,Success,18310,spieler,Benoît Assou-Ekotto,24/03/1984 (41),Arras,"1,78 m",Cameroon  France,Defender - Left-Back,left,Not found,FC Metz,1/7/2018,-,Not found,6,521,100,Yes,1/7/2018,Not found,5,first scrap players transfer
Fábio Aurélio,https://www.transfermarkt.com/fbio-aurlio/profil/spieler/7570,Success,7570,spieler,Fábio Aurélio,24/09/1979 (46),São Carlos,"1,78 m",Brazil  Italy,Defender - Left-Back,left,Not found,Grêmio,1/1/2014,-,Not found,7,342,67,Yes,1/1/2014,Not found,5,first scrap players transfer
