"rank","player_name.x","nation","position.x","current_club.x","age","dob","matches_played","starts","minutes","X90s","goals_12","assists_13","goals_assists_14","goals_PK_15","penalty_goals","penalty_attempts","yellow_cards","red_cards","goals_20","assists_21","GA_22","goals_PK_23","goals_assists_minus_PK","matches","season2","goals_against","goals_against_per_90","shots_on_target_against","saves","save_percentage_31","wins","draws","losses","clean_sheets","CS.","penalties_against","penalty_saves","penalty_misses","save_percentage_40","transfermarkt_id","player_name.x.x","transfermarkt_url.x","first_tier_debut_date","first_tier_debut_age","first_tier_debut_age.1","first_tier_debut_competition","second_tier_debut_date","second_tier_debut_age","second_tier_debut_age.1","second_tier_debut_competition","debut_age_transfermarket","explanation.x","player_name.y","player_url.x","status.x","player_slug","home_name","dob_age.x","place_birth.x","height.x","citizenship.x","position.x.x","foot.x","agent","current_club","joined","contract_expires","outfitter","injury_count_total","days_missed_total","games_missed_total","retired","retirement_date","shirt_number","injury_seasons","explanation.y","player_name","player_url.y","status.y","name_home_country","dob_age.y","place_birth.y","height.y","citizenship.y","position.y","foot.y","debut_season","debut_age","first_club","debut_year","transfermarkt_url.y","explanation"
20,"Benoît Assou-Ekotto","cm CMR","DF","Tottenham",26,1984,30,30,2569,28.5,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18310,"Benoît Assou-Ekotto","https://www.transfermarkt.com/benot-assou-ekotto/profil/spieler/18310","28/03/2004","20 years 04 days","20","Ligue 1","18/09/2013","29","29","Championship","20","first scrap players","Benoît Assou-Ekotto","https://www.transfermarkt.com/benot-assou-ekotto/profil/spieler/18310","Success","spieler","Benoît Assou-Ekotto","24/03/1984 (41)","Arras","1,78 m","Cameroon  France","Defender - Left-Back","left","Not found","FC Metz","1/7/2018","-","Not found",6,521,100,"Yes","1/7/2018","Not found",5,"first scrap players transfer","Benoît Assou-Ekotto","https://fbref.com/en/players/a557e6b0/Benoit-Assou-Ekotto","Success","Not found","24-Mar-84","Not found","178","Cameroon cm  Other: France","DF (FB, left)","Left","2003-2004","19 years","Lens","2003","https://www.transfermarkt.com/benot-assou-ekotto/profil/spieler/18310","first scrap players fbref"
21,"Fábio Aurélio","br BRA","DF,MF","Liverpool",30,1979,14,7,570,6.3,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7570,"Fábio Aurélio","https://www.transfermarkt.com/fbio-aurlio/profil/spieler/7570","5/7/1997","17 years 09 months 11 days","17","Campeonato Brasileiro Série A","No second tier career","No second tier career","No second tier career","No second tier career","17","first scrap players","Fábio Aurélio","https://www.transfermarkt.com/fbio-aurlio/profil/spieler/7570","Success","spieler","Fábio Aurélio","24/09/1979 (46)","São Carlos","1,78 m","Brazil  Italy","Defender - Left-Back","left","Not found","Grêmio","1/1/2014","-","Not found",7,342,67,"Yes","1/1/2014","Not found",5,"first scrap players transfer","Fábio Aurélio","https://fbref.com/en/players/68f0ce09/Fabio-Aurelio","Success","Not found","24-Sep-79","Not found","173","Brazil","DF-MF (FB-WM, left)","Not found","2000-2001","20 years","Valencia","2000","https://www.transfermarkt.com/fbio-aurlio/profil/spieler/7570","first scrap players fbref"
22,"Demba Ba","sn SEN","FW","West Ham",25,1985,12,10,933,10.4,7,0,7,7,0,0,1,0,0.68,0,0.68,0.68,0.68,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40205,"Demba Ba","https://www.transfermarkt.com/demba-ba/profil/spieler/40205","29/07/2006","21 years 02 months 04 days","21","Jupiler Pro League","3/9/2007","22","22","2.Bundesliga","21","first scrap players","Demba Ba","https://www.transfermarkt.com/demba-ba/profil/spieler/40205","Success","spieler","Demba Ba","25/05/1985 (40)","Sèvres","1,89 m","Senegal  France","Attack - Centre-Forward","right","Not found","FC Lugano","13/09/2021","-","Not found",16,805,98,"Yes","13/09/2021","Not found",7,"first scrap players transfer","Demba Ba","https://fbref.com/en/players/8b683d09/Demba-Ba","Success","Not found","25-May-85","Not found","189","Senegal sn  Other: France","FW","Right","2006-2007","21 years","Mouscron","2006","https://www.transfermarkt.com/demba-ba/profil/spieler/40205","first scrap players fbref"
23,"Ryan Babel","nl NED","FW,MF","Liverpool",23,1986,9,1,203,2.3,1,0,1,1,0,0,0,0,0.44,0,0.44,0.44,0.44,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16135,"Ryan Babel","https://www.transfermarkt.com/ryan-babel/profil/spieler/16135","1/2/2004","17 years 01 month 13 days","17","Eredivisie","13/08/2022","35","35","","17","first scrap players","Ryan Babel","https://www.transfermarkt.com/ryan-babel/profil/spieler/16135","Success","spieler","Ryan Babel","19/12/1986 (38)","Amsterdam","1,85 m","Netherlands  Suriname","Attack - Left Winger","right","Not found","Eyüpspor","9/11/2024","-","Not found",23,516,113,"Yes","9/11/2024","Not found",12,"first scrap players transfer","Ryan Babel","https://fbref.com/en/players/6438d426/Ryan-Babel","Success","Not found","19-Dec-86","Not found","185","Netherlands","FW-MF (AM-WM, left)","Right","2003-2004","16 years","Ajax","2003","https://www.transfermarkt.com/ryan-babel/profil/spieler/16135","first scrap players fbref"
24,"Leighton Baines","eng ENG","DF","Everton",25,1984,38,38,3420,38,5,11,16,2,3,3,4,0,0.13,0.29,0.42,0.05,0.34,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13507,"Leighton Baines","https://www.transfermarkt.com/leighton-baines/profil/spieler/13507","14/08/2005","20 years 08 months 03 days","20","Premier League","1/11/2003","18","18","First Division (until 03/04)","18","first scrap players","Leighton Baines","https://www.transfermarkt.com/leighton-baines/profil/spieler/13507","Success","spieler","Leighton Baines","11/12/1984 (40)","Kirkby","1,70 m","England","Defender - Left-Back","left","Not found","Everton","27/07/2020","-","adidas",6,379,61,"Yes","27/07/2020","Not found",4,"first scrap players transfer","Leighton Baines","https://fbref.com/en/players/b18095b6/Leighton-Baines","Success","Not found","11-Dec-84","Not found","170","England eng","DF (FB, left)","Left","2002-2003","17 years","Wigan Athletic","2002","https://www.transfermarkt.com/leighton-baines/profil/spieler/13507","first scrap players fbref"
25,"Chris Baird","nir NIR","DF,MF","Fulham",28,1982,29,25,2383,26.5,2,1,3,2,0,0,5,0,0.08,0.04,0.11,0.08,0.11,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4115,"Chris Baird","https://www.transfermarkt.com/chris-baird/profil/spieler/4115","22/03/2003","21 years 25 days","21","Premier League","27/09/2003","21","21","First Division (until 03/04)","21","first scrap players","Chris Baird","https://www.transfermarkt.com/chris-baird/profil/spieler/4115","Success","spieler","Chris Baird","25/02/1982 (43)","Rasharkin","1,85 m","Northern Ireland","Midfield - Defensive Midfield","right","Not found","Derby","7/2/2019","-","Not found",3,34,7,"Yes","7/2/2019","Not found",3,"first scrap players transfer","Chris Baird","https://fbref.com/en/players/55fd8c81/Chris-Baird","Success","Not found","25-Feb-82","Not found","179","Northern Ireland nir","DF-MF (CB-FB)","Right","2002-2003","20 years","Southampton","2002","https://www.transfermarkt.com/chris-baird/profil/spieler/4115","first scrap players fbref"
26,"Nathan Baker","eng ENG","DF","Aston Villa",19,1991,4,4,247,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62638,"Nathan Baker","https://www.transfermarkt.com/nathan-baker/profil/spieler/62638","25/01/2011","19 years 09 months 02 days","19","Premier League","26/11/2011","20","20","Championship","19","first scrap players","Nathan Baker","https://www.transfermarkt.com/nathan-baker/profil/spieler/62638","Success","spieler","Nathan Baker","23/04/1991 (34)","Worcester","1,89 m","England","Defender - Centre-Back","left","Not found","Bristol City","29/08/2022","-","Nike",8,888,90,"Yes","29/08/2022","Not found",5,"first scrap players transfer","Nathan Baker","https://fbref.com/en/players/b18af9e3/Nathan-Baker","Success","Not found","23-Apr-91","Not found","191","England eng","DF (CB-FB, left)","Left","2009-2010","18 years","Lincoln City","2009","https://www.transfermarkt.com/nathan-baker/profil/spieler/62638","first scrap players fbref"
27,"Gareth Bale","wls WAL","FW,MF","Tottenham",21,1989,30,29,2447,27.2,7,1,8,7,0,0,1,0,0.26,0.04,0.29,0.26,0.29,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39381,"Gareth Bale","https://www.transfermarkt.com/gareth-bale/profil/spieler/39381","26/08/2007","18 years 01 month 10 days","18","Premier League","17/04/2006","16","16","Championship","16","first scrap players","Gareth Bale","https://www.transfermarkt.com/gareth-bale/profil/spieler/39381","Success","spieler","Gareth Bale","16/07/1989 (36)","Cardiff","1,86 m","Wales","Attack - Right Winger","left","Not found","LAFC","9/1/2023","-","adidas",43,1122,256,"Yes","9/1/2023","Not found",15,"first scrap players transfer","Gareth Bale","https://fbref.com/en/players/a58bb1e1/Gareth-Bale","Success","Not found","16-Jul-89","Not found","185","Wales wls","FW-MF (AM-WM)","Left","2005-2006","16 years","Southampton","2005","https://www.transfermarkt.com/gareth-bale/profil/spieler/39381","first scrap players fbref"
28,"Mario Balotelli","it ITA","FW","Manchester City",19,1990,17,12,1091,12.1,6,0,6,4,2,2,7,1,0.49,0,0.49,0.33,0.33,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45146,"Mario Balotelli","https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146","16/12/2007","17 years 04 months 04 days","17","Serie A","30/12/2020","30","30","Serie B","17","first scrap players","Mario Balotelli","https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146","Success","spieler","Mario Balotelli","12/08/1990 (35)","Palermo","1,89 m","Italy  Ghana","Attack - Centre-Forward","right","Not found","Without Club","1/7/2025","-","Puma",36,906,135,"No","Not found","Not found",14,"first scrap players transfer","Mario Balotelli","https://fbref.com/en/players/8ff07990/Mario-Balotelli","Success","Not found","12-Aug-90","Not found","189","Italy","FW","Right","2007-2008","16 years","Inter","2007","https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146","first scrap players fbref"
29,"Barry Bannan","sct SCO","MF","Aston Villa",20,1989,12,7,639,7.1,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61561,"Barry Bannan","https://www.transfermarkt.com/barry-bannan/profil/spieler/61561","14/08/2010","20 years 08 months 14 days","20","Premier League","14/03/2009","19","19","Championship","19","first scrap players","Barry Bannan","https://www.transfermarkt.com/barry-bannan/profil/spieler/61561","Success","spieler","Barry Bannan","01/12/1989 (35)","Airdrie","1,69 m","Scotland","Midfield - Central Midfield","left","Not found","Sheff Wed","31/08/2015","30/06/2026","Not found",1,77,18,"No","Not found","10",1,"first scrap players transfer","Barry Bannan","https://fbref.com/en/players/9469fb13/Barry-Bannan","Success","Not found","December 1, 1989 (Age: 35-359d)","Airdrie, Scotland, United Kingdom","169","Scotland sct","MF (AM-CM-DM, left)","Left","2008-2009","18 years","Derby County","2008","https://www.transfermarkt.com/barry-bannan/profil/spieler/61561","first scrap players fbref"
30,"Alex Baptiste","eng ENG","DF","Blackpool",24,1986,21,19,1731,19.2,2,0,2,2,0,0,2,0,0.1,0,0.1,0.1,0.1,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16660,"Alex Baptiste","https://www.transfermarkt.com/alex-baptiste/profil/spieler/16660","14/08/2010","24 years 06 months 14 days","24","Premier League","22/11/2008","22","22","Championship","22","first scrap players","Alex Baptiste","https://www.transfermarkt.com/alex-baptiste/profil/spieler/16660","Success","spieler","Alex Baptiste","31/01/1986 (39)","Sutton-in-Ashfield","1,80 m","England","Defender - Centre-Back","right","Not found","Without Club","1/1/2023","-","Not found",1,198,33,"No","Not found","Not found",1,"first scrap players transfer","Alex Baptiste","https://fbref.com/en/players/7b72f0b6/Alex-Baptiste","Success","Not found","31-Jan-86","Not found","180","Not found","DF (CB-FB, right)","Right","2002-2003","16 years","Mansfield Town","2002","https://www.transfermarkt.com/alex-baptiste/profil/spieler/16660","first scrap players fbref"
31,"Phil Bardsley","sct SCO","DF","Sunderland",25,1985,34,32,2820,31.3,3,1,4,3,0,0,5,0,0.1,0.03,0.13,0.1,0.13,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15773,"Phil Bardsley","https://www.transfermarkt.com/phil-bardsley/profil/spieler/15773","31/01/2004","18 years 07 months 03 days","18","Jupiler Pro League","18/03/2006","20","20","Championship","18","first scrap players","Phil Bardsley","https://www.transfermarkt.com/phil-bardsley/profil/spieler/15773","Success","spieler","Phil Bardsley","28/06/1985 (40)","Salford","1,80 m","Scotland  England","Defender - Right-Back","right","Not found","Stockport","1/7/2023","-","Not found",14,285,42,"Yes","1/7/2023","Not found",8,"first scrap players transfer","Phil Bardsley","https://fbref.com/en/players/1ae30132/Phil-Bardsley","Success","Not found","28-Jun-85","Not found","180","Scotland sct  Other: England","DF (FB, right)","Right","2003-2004","18 years","Antwerp","2003","https://www.transfermarkt.com/phil-bardsley/profil/spieler/15773","first scrap players fbref"
32,"Giles Barnes","jm JAM","FW,MF","West Brom",21,1988,14,1,318,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37236,"Giles Barnes","https://www.transfermarkt.com/giles-barnes/profil/spieler/37236","22/09/2007","19 years 01 month 17 days","19","Premier League","11/9/2005","17","17","Championship","17","first scrap players","Giles Barnes","https://www.transfermarkt.com/giles-barnes/profil/spieler/37236","Success","spieler","Giles Barnes","05/08/1988 (37)","Barking","1,83 m","Jamaica  England","Attack - Centre-Forward","right","Not found","Hyderabad FC","1/7/2020","-","Not found",6,167,29,"Yes","1/7/2020","Not found",4,"first scrap players transfer","Giles Barnes","https://fbref.com/en/players/e663724a/Giles-Barnes","Success","Not found","5-Aug-88","Not found","188","Jamaica jm  Other: England","FW-MF (AM)","Both","2005-2006","16 years","Derby County","2005","https://www.transfermarkt.com/giles-barnes/profil/spieler/37236","first scrap players fbref"
33,"Pablo Barrera","mx MEX","FW,MF","West Ham",23,1987,14,6,745,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51079,"Pablo Barrera","https://www.transfermarkt.com/pablo-barrera/profil/spieler/51079","11/3/2007","19 years 08 months 18 days","19","Liga MX Clausura","4/2/2007","19","19","Liga de Expansión MX Clausura","19","first scrap players","Pablo Barrera","https://www.transfermarkt.com/pablo-barrera/profil/spieler/51079","Success","spieler","Pablo Barrera","21/06/1987 (38)","Tlalnepantla","1,75 m","Mexico","Attack - Right Winger","right","Not found","Querétaro FC","5/7/2021","31/12/2025","Not found",1,184,34,"No","Not found","8",1,"first scrap players transfer","Pablo Barrera","https://fbref.com/en/players/ff70b131/Pablo-Barrera","Success","Not found","June 21, 1987 (Age: 38-157d)","Tlalnepantla de Baz, Estado de México, Mexico","175","Mexico","FW-MF (AM-WM, right)","Right","2005-2006","18 years","UNAM","2005","https://www.transfermarkt.com/pablo-barrera/profil/spieler/51079","first scrap players fbref"
34,"Gareth Barry","eng ENG","MF","Manchester City",29,1981,33,31,2702,30,2,2,4,2,0,0,8,0,0.07,0.07,0.13,0.07,0.13,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3291,"Gareth Barry","https://www.transfermarkt.com/gareth-barry/profil/spieler/3291","2/5/1998","17 years 02 months 09 days","17","Premier League","18/08/2018","37","37","Championship","17","first scrap players","Gareth Barry","https://www.transfermarkt.com/gareth-barry/profil/spieler/3291","Success","spieler","Gareth Barry","23/02/1981 (44)","Hastings","1,84 m","England","Midfield - Defensive Midfield","left","Not found","Hurstpierpoint","22/07/2024","-","Not found",3,126,21,"No","Not found","Not found",2,"first scrap players transfer","Gareth Barry","https://fbref.com/en/players/7dbbe367/Gareth-Barry","Success","Not found","23-Feb-81","Not found","183","England eng","MF (CM-DM)","Left","1997-1998","16 years","Aston Villa","1997","https://www.transfermarkt.com/gareth-barry/profil/spieler/3291","first scrap players fbref"
35,"Joey Barton","eng ENG","MF","Newcastle Utd",27,1982,32,32,2877,32,4,9,13,2,2,2,7,0,0.13,0.28,0.41,0.06,0.34,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3292,"Joey Barton","https://www.transfermarkt.com/joey-barton/profil/spieler/3292","5/4/2003","20 years 07 months 03 days","20","Premier League","8/8/2009","26","26","Championship","20","first scrap players","Joey Barton","https://www.transfermarkt.com/joey-barton/profil/spieler/3292","Success","spieler","Joey Barton","02/09/1982 (43)","Huyton","1,80 m","England","Midfield - Central Midfield","right","Not found","Burnley","1/7/2017","-","Nike",3,125,19,"Yes","1/7/2017","Not found",2,"first scrap players transfer","Joey Barton","https://fbref.com/en/players/93bfa675/Joey-Barton","Success","Not found","2-Sep-82","Not found","180","England eng","MF (CM)","Right","2002-2003","19 years","Manchester City","2002","https://www.transfermarkt.com/joey-barton/profil/spieler/3292","first scrap players fbref"
36,"Chris Basham","eng ENG","DF,MF","Blackpool",22,1988,2,1,121,1.3,0,1,1,0,0,0,1,0,0,0.74,0.74,0,0.74,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52495,"Chris Basham","https://www.transfermarkt.com/chris-basham/profil/spieler/52495","29/11/2008","20 years 04 months 09 days","20","Premier League","5/8/2011","23","23","Championship","20","first scrap players","Chris Basham","https://www.transfermarkt.com/chris-basham/profil/spieler/52495","Success","spieler","Chris Basham","20/07/1988 (37)","Hebburn","1,90 m","England","Defender - Centre-Back","right","Not found","Sheff Utd","28/08/2024","-","Not found",5,500,57,"Yes","28/08/2024","Not found",4,"first scrap players transfer","Chris Basham","https://fbref.com/en/players/1aa84968/Chris-Basham","Success","Not found","20-Jul-88","Not found","185","Not found","DF-MF (CB, right)","Right","2006-2007","18 years","Stafford Rangers","2006","https://www.transfermarkt.com/chris-basham/profil/spieler/52495","first scrap players fbref"
37,"Sébastien Bassong","cm CMR","DF","Tottenham",24,1986,12,7,828,9.2,1,0,1,1,0,0,0,0,0.11,0,0.11,0.11,0.11,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33951,"Sébastien Bassong","https://www.transfermarkt.com/sbastien-bassong/profil/spieler/33951","20/08/2005","19 years 01 month 11 days","19","Ligue 1","29/07/2006","20","20","Ligue 2","19","first scrap players","Sébastien Bassong","https://www.transfermarkt.com/sbastien-bassong/profil/spieler/33951","Success","spieler","Sébastien Bassong","09/07/1986 (39)","Paris","1,87 m","Cameroon  France","Defender - Centre-Back","left","Not found","Volos NPS","1/1/2020","-","Not found",1,8,3,"Yes","1/1/2020","Not found",1,"first scrap players transfer","Sébastien Bassong","https://fbref.com/en/players/0d521662/Sebastien-Bassong","Success","Not found","9-Jul-86","Not found","188","Cameroon cm  Other: France","DF","Left","2005-2006","19 years","Metz","2005","https://www.transfermarkt.com/sbastien-bassong/profil/spieler/33951","first scrap players fbref"
38,"Jose Baxter","eng ENG","FW,MF","Everton",18,1992,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82734,"Jose Baxter","https://www.transfermarkt.com/jose-baxter/profil/spieler/82734","16/08/2008","16 years 06 months 09 days","16","Premier League","8/3/2020","28","28","USL Championship","16","first scrap players","Jose Baxter","https://www.transfermarkt.com/jose-baxter/profil/spieler/82734","Success","spieler","Jose Baxter","07/02/1992 (33)","Bootle","1,79 m","England","Midfield - Attacking Midfield","right","Not found","Memphis 901","8/8/2021","-","Not found",0,0,0,"Yes","8/8/2021","Not found",0,"first scrap players transfer","Jose Baxter","https://fbref.com/en/players/185990eb/Jose-Baxter","Success","Not found","7-Feb-92","Not found","180","England eng","FW-MF (AM)","Right","2008-2009","16 years","Everton","2008","https://www.transfermarkt.com/jose-baxter/profil/spieler/82734","first scrap players fbref"
39,"James Beattie","eng ENG","FW","Blackpool",32,1978,9,5,433,4.8,0,3,3,0,0,0,0,0,0,0.62,0.62,0,0.62,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3112,"James Beattie","https://www.transfermarkt.com/james-beattie/profil/spieler/3112","12/10/1996","18 years 07 months 15 days","18","Premier League","11/8/2007","29","29","Championship","18","first scrap players","James Beattie","https://www.transfermarkt.com/james-beattie/profil/spieler/3112","Success","spieler","James Beattie","27/02/1978 (47)","Lancaster","1,85 m","England","Attack - Centre-Forward","right","Not found","Accrington","1/7/2013","-","Not found",2,93,17,"Yes","1/7/2013","Not found",2,"first scrap players transfer","James Beattie","https://fbref.com/en/players/7c881089/James-Beattie","Success","Not found","27-Feb-78","Not found","185","England eng","FW","Not found","1996-1997","18 years","Blackburn","1996","https://www.transfermarkt.com/james-beattie/profil/spieler/3112","first scrap players fbref"
40,"Jean Beausejour","cl CHI","DF,FW","Birmingham City",26,1984,17,9,895,9.9,2,0,2,2,0,0,0,0,0.2,0,0.2,0.2,0.2,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18871,"Jean Beausejour","https://www.transfermarkt.com/jean-beausejour/profil/spieler/18871","18/02/2002","17 years 08 months 17 days","17","","6/8/2011","27","27","Championship","17","first scrap players","Jean Beausejour","https://www.transfermarkt.com/jean-beausejour/profil/spieler/18871","Success","spieler","Jean Beausejour","01/06/1984 (41)","Santiago de Chile","1,78 m","Chile  Haiti","Defender - Left-Back","left","Not found","Coquimbo Unido","28/01/2022","-","Not found",17,374,58,"Yes","28/01/2022","Not found",8,"first scrap players transfer","Jean Beausejour","https://fbref.com/en/players/c8404849/Jean-Beausejour","Success","Not found","1-Jun-84","Not found","178","Chile","DF-FW-MF (FB-WM, left)","Left","2004-2005","20 years","Servette","2004","https://www.transfermarkt.com/jean-beausejour/profil/spieler/18871","first scrap players fbref"
41,"Bebé","cv CPV","FW,MF","Manchester Utd",20,1990,2,0,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153427,"Bebé","https://www.transfermarkt.com/bebe/profil/spieler/153427","2/10/2010","20 years 02 months 20 days","20","Premier League","2/2/2018","27 years 06 months 21 days","27","Segunda División","20","players corrected","Bebé","https://www.transfermarkt.com/bebe/profil/spieler/153427","Success","spieler","Bebé","12/07/1990 (35)","Lisboa","1,90 m","Cape Verde  Portugal","Attack - Left Winger","right","Not found","UD Ibiza","1/2/2025","30/06/2026","Not found",3,601,92,"No","Not found","7",3,"players corrected transfer

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Jermaine Beckford","jm JAM","FW","Everton",26,1983,32,14,1327,14.7,8,2,10,8,0,0,3,0,0.54,0.14,0.68,0.54,0.68,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38874,"Jermaine Beckford","https://www.transfermarkt.com/jermaine-beckford/profil/spieler/38874","14/08/2010","26 years 08 months 05 days","26","Premier League","21/03/2006","22","22","Championship","22","first scrap players","Jermaine Beckford","https://www.transfermarkt.com/jermaine-beckford/profil/spieler/38874","Success","spieler","Jermaine Beckford","09/12/1983 (41)","London","1,88 m","Jamaica  England","Attack - Centre-Forward","right","Not found","Bury","1/9/2019","-","Not found",1,186,34,"Yes","1/9/2019","Not found",1,"first scrap players transfer","Jermaine Beckford","https://fbref.com/en/players/393303c7/Jermaine-Beckford","Success","Not found","9-Dec-83","Not found","188","Jamaica jm  Other: England","FW","Right","2005-2006","21 years","Leeds United","2005","https://www.transfermarkt.com/jermaine-beckford/profil/spieler/38874","first scrap players fbref"
43,"Roman Bednář","cz CZE","FW","West Brom",27,1983,4,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26898,"Roman Bednář","https://www.transfermarkt.com/roman-bedn/profil/spieler/26898","9/8/2004","21 years 04 months 14 days","21","Fortuna Liga","3/11/2007","24","24","Championship","21","first scrap players","Roman Bednář","https://www.transfermarkt.com/roman-bedn/profil/spieler/26898","Success","spieler","Roman Bednar","26/03/1983 (42)","Praha","1,88 m","Czech Republic","Attack - Centre-Forward","right","Not found","Hovorcovice","14/09/2023","-","Not found",2,45,7,"No","Not found","Not found",1,"first scrap players transfer","Roman Bednář","https://fbref.com/en/players/a6979454/Roman-Bednar","Success","Not found","26-Mar-83","Not found","191","Czech Republic","FW","Not found","2005-2006","22 years","Hearts","2005","https://www.transfermarkt.com/roman-bedn/profil/spieler/26898","first scrap players fbref"
