fbref_url,transfermarkt_id,player_name,name_home_country,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,explanation
https://fbref.com/en/players/66d29ce7/Jake-Kean,121388,Jake Kean,Not found,4-Feb-91,Not found,193,England eng,GK,Right,2010-2011,19 years,Hartlepool Utd,2010,first scrap players fbref
https://fbref.com/en/players/6449a543/Josh-Morris,121391,Josh Morris,Not found,30-Sep-91,Not found,180,England eng,DF-FW-MF,Not found,2010-2011,18 years,Blackburn,2010,first scrap players fbref
https://fbref.com/en/players/0c7d15af/Reece-Wabara,121416,Reece Wabara,Not found,28-Dec-91,Not found,182,England eng,DF,Right,2010-2011,18 years,Manchester City,2010,first scrap players fbref
https://fbref.com/en/players/3e9e06cb/Craig-Dawson,121477,Craig Dawson,Not found,6-May-90,Not found,188,England eng,DF (CB-FB),Right,2009-2010,19 years,Rochdale,2009,first scrap players fbref
https://fbref.com/en/players/f27680d9/Cristian-Gamboa,121686,Cristian Gamboa,Not found,24-Oct-89,Not found,175,Costa Rica,"DF-MF (DM-FB, right)",Right,2011,21 years,Fredrikstad,Not found,first scrap players fbref
https://fbref.com/en/players/867239d3/Paul-Pogba,122153,Paul Pogba,Not found,"March 15, 1993 (Age: 32-255d)","Lagny-sur-Marne, France",191,France,MF (CM-DM-WM),Right,2011-2012,18 years,Manchester Utd,2011,first scrap players fbref
https://fbref.com/en/players/faf55ce4/Kevin-Wimmer,122675,Kevin Wimmer,Not found,"November 15, 1992 (Age: 33-010d)","Wels Stadt, Austria",187,Austria,"DF (CB, left)",Left,2012-2013,19 years,Köln,2012,first scrap players fbref
https://fbref.com/en/players/8cc4b934/Nico-Yennaris,122721,Nico Yennaris,Not found,"May 23, 1993 (Age: 32-197d)","Leytonstone, England, United Kingdom",174,China PR cn  Other: England,DF-MF (CM-DM-FB),Right,2011-2012,18 years,Arsenal,2011,players corrected fbref
https://fbref.com/en/players/c316607a/Vlad-Chiriches,123261,Vlad Chiricheș,Not found,"November 14, 1989 (Age: 36-011d)","Bacău, Romania",184,Romania,"DF-MF (CB, right)",Right,2009-2010,19 years,Internațional,2009,first scrap players fbref
https://fbref.com/en/players/c596fcb0/Callum-Wilson,123682,Callum Wilson,Not found,"February 27, 1992 (Age: 33-271d)","Coventry, England, United Kingdom",180,England eng,FW,Right,2010-2011,18 years,Coventry City,2010,first scrap players fbref
https://fbref.com/en/players/2c851997/Gaston-Ramirez,123742,Gastón Ramírez,Not found,"December 2, 1990 (Age: 34-358d)","Fray Bentos, Uruguay",183,Uruguay,FW-MF (AM),Left,2010-2011,19 years,Bologna,2010,first scrap players fbref
https://fbref.com/en/players/44918bf5/Apostolos-Vellios,124495,Apostolos Vellios,Not found,8-Jan-92,Not found,191,Greece,FW,Right,2009-2010,17 years,Iraklis,2009,first scrap players fbref
https://fbref.com/en/players/31faf295/Bryan-Oviedo,124983,Bryan Oviedo,Not found,"February 18, 1990 (Age: 35-280d)","San José, Costa Rica",172,Costa Rica,"DF-MF (CB-FB-WM, left)",Left,2009-2010,19 years,FC Copenhagen,2009,first scrap players fbref
https://fbref.com/en/players/63dd1061/Joe-Riley,125117,Joe Riley,Not found,13-Oct-91,Not found,183,Not found,"DF (FB, right)",Right,2011-2012,19 years,Bolton,2011,players corrected fbref
https://fbref.com/en/players/46b5375e/Pape-Souare,125868,Pape Souaré,Not found,"June 6, 1990 (Age: 35-172d)",Senegal,178,Senegal,"DF (FB, left)",Left,2010-2011,20 years,Lille,2010,first scrap players fbref
https://fbref.com/en/players/9dc69d38/Leandro-Bacuna,126014,Leandro Bacuna,Not found,"August 21, 1991 (Age: 34-096d)","Groningen, Netherlands",187,"Curaçao cw  Other: Netherlands Antilles , Netherlands","DF-MF (CM-DM-FB-WM, right)",Right,2009-2010,17 years,Groningen,2009,first scrap players fbref
https://fbref.com/en/players/874125a3/Carl-Jenkinson,126321,Carl Jenkinson,Not found,"February 8, 1992 (Age: 33-290d)","Harlow, England, United Kingdom",187,England eng,"DF (FB, right)",Right,2010-2011,18 years,Charlton Ath,2010,first scrap players fbref
https://fbref.com/en/players/ed239245/Antonio-Luna,126516,Antonio Luna,Not found,17-Mar-91,Not found,178,Spain,"DF (FB, left)",Left,2009-2010,18 years,Sevilla,2009,first scrap players fbref
https://fbref.com/en/players/72c812f3/Idrissa-Gana-Gueye,126665,Idrissa Gana Gueye,Not found,"September 26, 1989 (Age: 36-060d)",Senegal,174,Senegal,MF (CM-DM),Right,2010-2011,20 years,Lille,2010,first scrap players fbref
https://fbref.com/en/players/bbf23a57/Eduard-Campabadal,126722,Eduard Campabadal,Not found,"January 26, 1993 (Age: 32-303d)","Tarragona, Spain",183,Spain,"DF (FB, right)",Right,2012-2013,19 years,Wigan Athletic,2012,first scrap players fbref
https://fbref.com/en/players/84399660/Juanmi,126737,Juanmi,Not found,"May 20, 1993 (Age: 32-200d)","Coín, Spain",169,Spain,FW-MF (AM),Right,2009-2010,16 years,Málaga,2009,players corrected fbref
https://fbref.com/en/players/5939baa2/Benjamin-Stambouli,127160,Benjamin Stambouli,Not found,"August 13, 1990 (Age: 35-104d)","Marseille, France",180,France,DF-MF (CB-CM-DM),Right,2010-2011,19 years,Montpellier,2010,first scrap players fbref
https://fbref.com/en/players/11ced928/Yaya-Sanogo,127194,Yaya Sanogo,Not found,27-Jan-93,Not found,194,France,FW,Right,2009-2010,16 years,Auxerre,2009,first scrap players fbref
https://fbref.com/en/players/11c30a46/Carles-Gil,127987,Carles Gil,Not found,"November 22, 1992 (Age: 33-003d)","Valencia, Spain",170,Spain,FW-MF (AM-WM),Left,2012-2013,19 years,Elche,2012,first scrap players fbref
https://fbref.com/en/players/96bb8cc2/Robbie-Brady,128229,Robbie Brady,Not found,"January 14, 1992 (Age: 33-315d)","Dublin, Republic of Ireland",178,Republic of Ireland,DF-FW-MF (FB-WM),Left,2011-2012,19 years,Hull City,2011,first scrap players fbref
https://fbref.com/en/players/c0a28fbd/Derrick-Williams,128287,Derrick Williams,Not found,"January 17, 1993 (Age: 32-312d)","Hamburg, Germany",180,Republic of Ireland ie  Other: Germany,"DF (CB-FB, left)",Left,2012-2013,19 years,Aston Villa,2012,first scrap players fbref
https://fbref.com/en/players/587ddfd6/Kim-Bo-kyung,128375,Kim Bo-kyung,Not found,"October 6, 1989 (Age: 36-050d)","Gurye-gun, Korea Republic",178,Korea Republic,MF (AM),Left,2012-2013,22 years,Cardiff City,2012,first scrap players fbref
https://fbref.com/en/players/b0835fc0/Jak-Alnwick,128895,Jak Alnwick,Not found,"June 17, 1993 (Age: 32-161d)","Hexham, England, United Kingdom",187,England eng,GK,Right,2011-2012,18 years,Gateshead,2011,first scrap players fbref
https://fbref.com/en/players/25b166d0/Saido-Berahino,128897,Saido Berahino,Not found,4-Aug-93,Not found,179,Burundi bi  Other: England,FW-MF,Right,2011-2012,17 years,Northampton,2011,first scrap players fbref
https://fbref.com/en/players/cc70a1d5/Jack-Butland,128899,Jack Butland,Not found,"March 10, 1993 (Age: 32-260d)","City of Bristol, England, United Kingdom",193,England eng,GK,Right,2011-2012,18 years,Cheltenham,2011,first scrap players fbref
https://fbref.com/en/players/422862ea/Nathaniel-Chalobah,128900,Nathaniel Chalobah,Not found,"December 12, 1994 (Age: 30-348d)","Freetown, Sierra Leone",185,England eng  Other: Sierra Leone,DF-MF (CM),Right,2012-2013,17 years,Watford,2012,first scrap players fbref
https://fbref.com/en/players/2928dca2/Conor-Coady,128901,Conor Coady,Not found,"February 25, 1993 (Age: 32-273d)","Liverpool, England, United Kingdom",185,England eng,DF-MF (CB-DM-WM),Right,2012-2013,19 years,Liverpool,2012,first scrap players fbref
https://fbref.com/en/players/48565585/Josh-McEachran,128905,Josh McEachran,Not found,"March 1, 1993 (Age: 32-269d)","Oxford, England, United Kingdom",178,England eng,MF (CM-DM),Left,2010-2011,17 years,Chelsea,2010,first scrap players fbref
https://fbref.com/en/players/bcee97a4/Liam-Moore,128906,Liam Moore,Not found,31-Jan-93,Not found,186,Jamaica jm  Other: England,"DF (CB-FB, left)",Right,2011-2012,18 years,Bradford City,2011,first scrap players fbref
